"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_tecnologia","Satisfaccion_trabajo","Satisfaccion_salud"
"5555",7258165,3,81.81,48,23,100,72
"5556",7258165,4,81.81,40,31,100,67
"5557",7258168,3,87.87,48,23,100,61
"5558",7258169,2,90.9,32,34,100,68.5
"5559",7258170,3,75.75,32,24,100,67
"5560",7258170,4,75.75,40,31,100,71
"5561",7258176,3,87.87,48,30,100,67
"5562",7258176,4,87.87,40,31,100,68
"5563",7258178,3,78.78,48,62,100,63
"5564",7258180,2,90.9,26,30,100,75
"5565",7258182,3,78.78,40,31,100,67
"5566",7258185,3,90.9,48,22,100,71
"5567",7258185,4,90.9,40,31,100,66
"5568",7258193,5,66.66,48,0,100,67
"5569",7258194,2,60.6,48,26,60,67
"5570",7258203,3,24.24,40,31,100,71
"5571",7258207,5,36.36,40,31,100,71
"5572",7258208,2,51.51,40,31,100,65.5
"5573",7258209,3,72.72,40,31,100,75
"5574",7258211,3,81.81,48,37,70,75
"5575",7258211,4,81.81,40,31,100,66
"5576",7258211,5,81.81,40,31,100,67
"5577",7258212,4,78.78,48,26,70,66
"5578",7258212,5,78.78,40,31,100,71
"5579",7258214,5,81.81,48,31,100,75
"5580",7258215,2,75.75,48,28,100,71
"5581",7258217,2,81.81,48,24,100,71
"5582",7258217,3,81.81,40,31,100,60
"5583",7258219,3,84.84,40,30,70,71
"5584",7258221,3,87.87,40,31,100,63
"5585",7258222,4,78.78,48,26,100,67
"5586",7258222,5,78.78,40,31,100,67
"5587",7258223,3,72.72,48,26,100,69
"5588",7258223,4,72.72,40,31,100,71
"5589",7258224,3,81.81,40,31,100,68
"5590",7258229,4,90.9,32,26,100,71
"5591",7258229,6,90.9,40,31,100,67
"5592",7258233,3,75.75,32,23,100,67
"5593",7258233,4,75.75,40,23,100,67
"5594",7258235,3,72.72,64,32,80,67
"5595",7258235,4,72.72,28,3,100,69
"5596",7258240,3,81.81,64,28,100,69
"5597",7258244,3,75.75,48,26,100,69
"5598",7258246,3,78.78,40,31,100,74
"5599",7258246,4,78.78,40,31,100,71
"5600",7258247,3,69.69,48,24,100,73
"5601",7258247,4,69.69,48,0,100,63
"5602",7258252,3,78.78,40,31,100,68
"5603",7258257,4,54.54,40,31,100,65
"5604",7258259,4,54.54,48,28,100,71
"5605",7258260,4,54.54,32,24,70,68
"5606",7258260,5,54.54,32,0,100,65
"5607",7258262,6,54.54,40,52,100,67
"5608",7258265,5,54.54,64,36,70,71
"5609",7258265,6,54.54,64,24,100,75
"5610",7258267,3,54.54,64,23,100,67
"5611",7258268,5,45.45,40,31,100,67
"5612",7258268,6,45.45,64,0,100,66
"5613",7258269,3,45.45,64,33,100,63
"5614",7258276,2,54.54,48,38,100,63
"5615",7258279,3,45.45,40,23,100,71
"5616",7258279,4,45.45,48,23,100,65
"5617",7258280,4,54.54,48,25,100,71
"5618",7258285,3,60.6,12,51,70,77
"5619",7258290,3,69.69,48,28,100,65
"5620",7258290,4,69.69,48,32,100,71
"5621",7258296,3,72.72,18,30,100,70
"5622",7258299,3,54.54,48,63,100,75
"5623",7258299,4,54.54,40,31,100,62.5
"5624",7258301,3,72.72,48,0,100,67
"5625",7258301,4,72.72,40,23,70,71
"5626",7258304,3,51.51,32,32,100,69
"5627",7258305,3,60.6,48,34,100,64
"5628",7258305,4,60.6,40,31,100,71
"5629",7258312,3,54.54,64,32,70,65
"5630",7258312,4,54.54,40,31,100,62
"5631",7258312,5,54.54,40,31,100,71
"5632",7258315,3,42.42,48,1,100,75
"5633",7258316,3,54.54,64,3,100,65
"5634",7258316,4,54.54,64,1,100,71
"5635",7258316,5,54.54,40,31,100,71
"5636",7258320,3,36.36,48,1,100,75
"5637",7258324,5,81.81,40,31,100,71
"5638",7258326,3,81.81,64,1,100,60.5
"5639",7258326,4,81.81,64,3,100,75
"5640",7258330,3,81.81,14,1,100,75
"5641",7258331,3,81.81,48,23,100,69
"5642",7258332,3,81.81,40,31,100,71
"5643",7258334,3,81.81,48,1,100,71
"5644",7258339,2,48.48,48,16,100,75
"5645",7258341,4,48.48,40,16,100,67
"5646",7258342,2,51.51,48,23,100,69
"5647",7258343,3,39.39,56,23,100,71
"5648",7258344,3,51.51,48,1,100,75
"5649",7258344,4,51.51,40,31,100,71
"5650",7258345,3,45.45,56,3,100,67
"5651",7258347,3,60.6,48,3,100,65
"5652",7258355,2,81.81,48,16,100,69
"5653",7258356,6,81.81,48,23,100,67
"5654",7258360,4,81.81,56,3,100,72
"5655",7258362,4,81.81,56,23,100,71
"5656",7258362,5,81.81,48,16,100,71
"5657",7258365,4,90.9,40,31,100,67
"5658",7258367,4,81.81,48,3,100,71
"5659",7258369,4,81.81,48,26,100,71
"5660",7258369,5,81.81,48,26,100,71
"5661",7258371,3,81.81,48,3,100,69
"5662",7258371,4,81.81,48,0,100,71
"5663",7258373,5,63.63,64,28,100,67
"5664",7258378,4,60.6,48,3,100,67
"5665",7258386,3,45.45,40,32,100,71
"5666",7258393,4,54.54,40,56,100,71
"5667",7258393,5,54.54,40,31,100,71
"5668",7258395,3,60.6,40,31,100,75
"5669",7258395,4,60.6,40,31,100,71
"5670",7258396,3,45.45,48,1,100,71
"5671",7258396,4,45.45,40,31,100,67
"5672",7258400,5,42.42,40,31,100,69
"5673",7258403,3,54.54,32,62,100,71
"5674",7258403,4,54.54,48,42,100,71
"5675",7258408,3,54.54,48,30,100,71
"5676",7258415,6,45.45,48,0,100,75
"5677",7258417,4,54.54,48,1,100,65.5
"5678",7258417,5,54.54,32,28,100,75
"5679",7258423,3,60.6,40,31,100,73
"5680",7258423,4,60.6,40,31,100,71
"5681",7258424,3,60.6,48,0,100,71
"5682",7258424,4,60.6,40,31,100,75
"5683",7258425,3,54.54,64,29,100,71
"5684",7258428,4,51.51,48,24,100,71
"5685",7258428,5,51.51,40,31,100,75
"5686",7258430,4,63.63,64,3,100,71
"5687",7258434,5,54.54,48,62,100,67
