"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_salud","Satisfaccion_servicios_hogar","Satisfaccion_tecnologia","Satisfaccion_composicion_hogar","satisfaccion_total"
"1",7247300,1,72.72,60,72.5,69,29,71,7
"2",7247300,2,72.72,60,72,0,44,76,8
"3",7247300,3,72.72,80,71,0,52,51,9
"4",7247301,1,87.87,60,63,67,23,52,4
"5",7247301,2,87.87,60,71,0,23,69,10
"6",7247302,6,81.81,60,60.5,0,3,74,6
"7",7247310,1,75.75,60,72,66,36,72,8
"8",7247310,2,75.75,80,67.5,0,16,36,6
"9",7247311,1,81.81,60,66.5,67,16,50,7
"11",7247312,5,69.69,60,66,0,46,58,5
"12",7247312,6,69.69,60,64.5,0,4,77,6
"13",7247312,7,69.69,60,71,0,4,67,3
"14",7247323,1,78.78,44,54.5,64,44,28,9
"16",7247324,1,72.72,60,61,66,60,66,10
"17",7247328,1,84.84,60,75,68,36,81,10
"20",7247335,1,63.63,60,71,61,31,57,9
"22",7247344,4,60.6,60,71,0,52,86,9
"23",7247355,3,66.66,60,66,0,23,76,5
"25",7247369,1,66.66,60,61.5,58,36,79,6
"26",7247375,5,75.75,60,71,0,68,91,7
"27",7247377,1,81.81,60,68.5,60,54,52,10
"28",7247377,2,81.81,60,68.5,0,45,50,3
"29",7247379,1,93.93,60,66.5,69,3,87,10
"30",7247382,1,75.75,60,68,67,31,67,6
"31",7247382,2,75.75,60,61,0,3,91,6
"32",7247388,1,78.78,60,63,63,21,73,6
"33",7247388,2,78.78,60,70,0,21,86,7
"35",7247391,2,81.81,60,63,0,50,71,9
"36",7247392,1,78.78,60,68.5,64,54,47,8
"38",7247394,1,81.81,60,71,61,3,91,7
"39",7247402,1,57.57,60,75,58,23,91,7
"40",7247423,1,69.69,60,75,62,23,72,7
"41",7247425,1,60.6,60,71,59,21,66,8
"42",7247425,2,60.6,60,71,0,3,82,8
"43",7247439,1,30.3,60,71,57,23,56,7
"44",7247444,1,33.33,60,75,57,16,87,8
"45",7247444,3,33.33,60,74,0,36,91,5
"46",7247458,1,90.9,44,71,58,54,55,5
"47",7247458,2,90.9,60,71,0,3,91,5
"48",7247467,1,90.9,44,75,52,31,64,7
"49",7247467,2,90.9,44,75,0,3,86,5
"50",7247473,1,90.9,44,71,56,3,81,7
"51",7247474,1,93.93,60,71,57,3,91,8
"52",7247484,1,66.66,80,73.5,63,23,76,8
"55",7247489,1,72.72,44,56.5,48,23,49,8
"56",7247489,2,72.72,44,66,0,3,59,7
"57",7247493,1,72.72,60,66,51,36,38,0
"58",7247493,2,72.72,44,68.5,0,3,91,10
"59",7247495,1,63.63,60,68.5,46,23,51,7
"60",7247506,1,72.72,44,66,53,3,91,7
"61",7247506,2,72.72,60,71,0,52,81,7
"62",7247509,1,93.93,60,64,56,16,62,7
"63",7247510,3,81.81,60,60.5,0,16,43,10
"64",7247517,1,69.69,60,67.5,58,31,91,10
"65",7247518,1,78.78,60,70.5,59,16,91,7
"66",7247520,1,81.81,44,68.5,55,21,91,9
"67",7247538,1,72.72,60,66,61,54,64,5
"68",7247541,1,60.6,60,70.5,60,3,86,8
"69",7247541,2,60.6,60,66.5,0,36,81,8
"70",7247546,1,60.6,60,71,38,3,91,8
"71",7247546,2,60.6,60,59.5,0,3,86,6
"72",7247549,1,54.54,60,66.5,39,44,81,4
"73",7247549,2,54.54,60,64.5,0,36,66,8
"75",7247551,2,45.45,60,68.5,0,1,62,8
"76",7247552,1,57.57,60,70.5,60,36,61,8
"80",7247560,1,63.63,60,71,72,16,61,8
"81",7247560,2,63.63,60,62,0,16,5,9
"83",7247578,1,51.51,60,67.5,69,36,76,8
"84",7247584,1,78.78,60,66.5,58,31,47,8
"85",7247585,1,57.57,60,71,63,36,75,8
"88",7247615,1,54.54,60,57,69,54,39,10
"89",7247617,2,60.6,60,61.5,0,54,60,9
"90",7247621,8,87.87,60,71,0,59,80,9
"91",7247626,1,72.72,60,63,69,29,42,10
"92",7247637,1,48.48,60,68.5,61,3,63,10
"94",7247641,1,45.45,44,75,61,23,56,6
"95",7247647,2,51.51,60,71,0,23,43,5
"96",7247653,2,66.66,60,64.5,0,3,76,6
"97",7247657,1,57.57,60,63.5,60,3,74,6
"98",7247657,2,57.57,60,75,0,3,71,6
"99",7247658,2,69.69,60,63,0,23,43,10
"100",7247659,1,66.66,60,66.5,61,23,66,6
"102",7247662,1,69.69,60,67.5,66,36,38,6
"103",7247662,2,69.69,60,71,0,23,86,6
"104",7247665,1,69.69,60,52,67,3,42,8
"105",7247665,2,69.69,60,66.5,0,3,49,6
"106",7247666,1,72.72,60,62.5,68,23,52,6
"107",7247668,1,63.63,60,66.5,67,3,40,5
"108",7247671,1,69.69,60,68,67,3,62,10
"110",7247672,1,66.66,100,66.5,67,31,29,7
"111",7247673,6,66.66,44,65.5,0,23,34,6
"112",7247679,1,75.75,60,71,69,62,62,4
"114",7247681,5,63.63,60,71.5,0,44,77,6
"116",7247684,1,63.63,60,64,55,36,91,5
"117",7247686,1,63.63,60,63,52,29,54,10
"118",7247686,2,63.63,60,71,0,3,91,6
"119",7247693,1,45.45,60,70.5,51,16,52,6
"120",7247693,2,45.45,44,68.5,0,3,81,6
"122",7247702,1,54.54,44,70,46,3,91,10
"123",7247702,2,54.54,44,59,0,3,47,10
"127",7247717,1,63.63,60,71,53,16,86,8
"128",7247722,1,48.48,44,71,37,16,81,7
"131",7247731,2,87.87,60,65.5,0,23,71,6
"132",7247746,1,81.81,60,68.5,57,23,91,6
"133",7247746,4,81.81,60,72.5,0,0,66,6
"134",7247746,5,81.81,60,68.5,0,23,91,6
"135",7247747,1,78.78,60,71,44,3,91,4
"136",7247748,1,72.72,100,71,44,3,91,9
"137",7247748,2,72.72,80,71,0,23,59,7
"138",7247749,1,81.81,60,67,60,51,66,9
"139",7247749,2,81.81,60,65.5,0,36,91,6
"140",7247752,1,81.81,60,68.5,47,70,86,6
"142",7247763,1,69.69,44,66,52,23,91,6
"144",7247769,1,84.84,60,68.5,56,52,76,5
"145",7247769,2,84.84,60,58.5,0,23,52,8
"146",7247771,3,72.72,44,70,0,23,77,10
"147",7247775,7,90.9,60,71,0,23,76,10
"148",7247777,1,87.87,60,71,69,3,81,4
"149",7247777,2,87.87,60,68.5,0,29,76,8
"150",7247778,1,75.75,60,72,66,3,62,9
"151",7247781,1,87.87,60,73,66,3,45,10
"152",7247787,1,87.87,60,71,63,16,42,10
"153",7247787,2,87.87,60,63,0,16,60,10
"157",7247790,2,84.84,60,65.5,0,53,69,10
"158",7247793,1,63.63,60,56.5,64,23,55,10
"161",7247797,1,74.23,60,62.5,64,52,74,8
"162",7247806,1,81.81,44,65.5,68,3,64,7
"163",7247806,2,81.81,44,65.5,0,23,66,8
"164",7247809,1,84.84,60,71,43,3,35,5
"165",7247810,1,81.81,44,71,62,23,91,6
"167",7247817,1,66.66,60,63,49,23,25,8
"168",7247818,5,63.63,44,68.5,0,23,50,7
"170",7247820,1,78.78,60,66,60,36,49,6
"171",7247820,2,78.78,60,69.5,0,21,91,6
"172",7247821,4,78.78,60,71,0,3,74,6
"173",7247822,1,60.6,60,67,61,16,58,6
"174",7247823,1,72.72,44,74,64,3,91,6
"176",7247835,1,72.72,44,67.5,69,16,91,9
"177",7247835,2,72.72,60,62,0,36,65,8
"178",7247836,1,87.87,60,71,69,3,69,8
"180",7247845,1,69.69,44,68,69,36,59,10
"181",7247847,1,72.72,60,51,69,36,46,10
"183",7247849,2,57.57,44,72,0,23,91,10
"185",7247856,1,69.69,44,67,67,31,62,5
"186",7247856,2,69.69,44,75,0,23,91,5
"187",7247859,1,66.66,60,60.5,70,23,86,6
"189",7247861,2,66.66,60,73,0,23,37,6
"190",7247862,1,72.72,60,74,69,23,60,8
"191",7247862,2,72.72,60,60,69,36,74,2
"192",7247866,1,72.72,60,67.5,69,23,49,10
"193",7247869,1,66.66,60,65.5,57,23,50,8
"195",7247875,1,78.78,60,70,66,23,69,5
"196",7247875,2,78.78,60,71,0,31,72,7
"199",7247882,1,87.87,60,72,67,23,79,7
"200",7247882,2,87.87,60,72.5,0,23,91,5
"201",7247882,4,87.87,60,69.5,0,21,91,4
"202",7247885,1,69.69,60,67.5,69,23,91,7
"203",7247885,2,69.69,60,65,0,54,64,7
"204",7247891,1,75.75,60,69,67,52,72,10
"205",7247891,2,75.75,60,71,0,21,61,8
"208",7247892,3,75.75,60,67,0,70,82,7
"209",7247895,2,66.66,60,70,0,52,91,3
"210",7247896,1,66.66,44,70.5,67,36,61,5
"211",7247897,1,51.51,44,69,68,3,91,5
"212",7247898,1,66.66,60,56.5,69,23,79,4
"213",7247898,2,66.66,60,71,0,3,91,4
"215",7247905,1,48.48,44,69,69,31,91,8
"216",7247905,5,48.48,44,71,0,23,81,8
"219",7247915,1,27.27,44,54,55,3,49,4
"220",7247922,1,48.48,44,69.5,49,3,59,5
"221",7247926,1,48.48,60,66.5,53,3,74,6
"223",7247930,1,54.54,60,62.5,60,23,81,8
"224",7247930,2,54.54,44,71,0,16,91,8
"225",7247931,1,54.54,60,69,58,23,75,6
"228",7247938,1,54.54,60,66.5,68,23,43,7
"229",7247938,2,54.54,60,58,0,23,62,7
"232",7247944,1,54.54,44,71,72,1,91,6
"233",7247950,1,54.54,44,69,69,16,66,8
"234",7247954,1,54.54,44,66.5,69,23,76,7
"235",7247956,1,48.48,44,68,69,3,86,6
"236",7247958,1,72.72,60,71,69,31,91,8
"237",7247958,2,72.72,60,61,0,3,79,8
"238",7247959,4,81.81,60,68.5,0,3,91,8
"239",7247962,3,72.72,60,58,0,3,91,9
"240",7247963,1,81.81,60,64.5,65,3,60,10
"241",7247978,1,72.72,60,66,66,36,91,9
"242",7247979,1,63.63,80,70,69,36,25,8
"243",7247979,2,63.63,60,64.5,0,3,45,8
"244",7247980,1,72.72,60,71,69,36,52,8
"245",7247980,2,72.72,44,73,0,3,71,8
"246",7247982,1,60.6,80,74,57,36,62,8
"247",7247986,1,78.78,60,59,57,44,43,9
"249",7247987,2,63.63,44,74,0,23,65,8
"250",7247993,1,69.69,60,63.5,55,3,66,8
"251",7247994,1,60.6,60,71,51,3,55,8
"252",7247994,2,60.6,60,71.5,0,70,91,8
"256",7248003,1,72.72,60,65.5,51,52,79,8
"257",7248003,2,72.72,60,71,0,21,91,9
"259",7248004,2,78.78,44,65.5,0,3,49,10
"260",7248007,1,81.81,44,61,49,36,86,10
"262",7248009,2,87.87,60,74,0,16,81,6
"263",7248019,1,75.75,60,51,53,16,51,8
"264",7248022,1,69.69,44,61.5,51,54,86,7
"266",7248025,1,69.69,60,62,50,31,57,8
"267",7248025,2,69.69,60,71,0,21,86,8
"269",7248035,1,54.54,44,58.5,57,23,91,7
"270",7248039,1,72.72,60,60.5,61,3,86,8
"271",7248048,1,87.87,60,54,59,3,76,9
"272",7248048,2,87.87,60,63,0,36,91,10
"273",7248049,1,90.9,60,75,54,21,91,10
"274",7248063,1,87.87,60,71,58,3,81,10
"275",7248063,2,87.87,60,75,0,3,86,8
"276",7248064,1,81.81,60,68,54,23,91,8
"278",7248066,1,87.87,60,74,54,46,91,8
"279",7248068,1,86.35,44,73,57,31,81,8
"280",7248088,1,84.84,60,71.5,58,23,86,8
"282",7248090,1,78.78,44,74,57,21,86,5
"283",7248090,2,78.78,44,73,0,36,81,5
"285",7248094,3,84.84,44,60,0,3,81,7
"286",7248094,4,84.84,44,68,0,21,66,5
"288",7248101,1,87.87,60,67.5,54,23,82,3
"289",7248101,2,87.87,60,72,0,3,91,3
"290",7248108,2,87.87,44,67.5,0,16,81,0
"291",7248111,1,75.75,44,68.5,57,36,64,7
"292",7248111,2,75.75,60,65,0,36,48,4
"294",7248115,1,54.54,44,68.5,59,31,66,5
"296",7248117,1,75.75,60,68.5,47,3,91,8
"297",7248117,2,75.75,60,64,0,3,56,9
"298",7248117,3,75.75,44,67,0,23,59,8
"299",7248121,1,69.69,80,58,60,31,81,9
"301",7248125,2,78.78,60,71,0,1,53,6
"302",7248126,1,81.81,60,69,57,44,58,8
"304",7248138,1,84.84,60,70,48,16,53,6
"305",7248142,2,72.72,60,66.5,0,16,70,9
"308",7248147,2,84.84,80,59.5,0,3,39,5
"309",7248171,1,69.69,60,67,53,52,52,4
"311",7248173,5,75.75,60,64,0,36,71,8
"312",7248174,1,81.81,60,72,59,31,91,8
"313",7248174,2,81.81,60,64,0,51,76,8
"315",7248177,1,72.72,60,54,54,3,91,8
"316",7248177,2,72.72,60,66.5,0,16,76,8
"320",7248185,2,81.81,60,46.5,0,61,40,8
"321",7248187,3,81.81,60,70.5,0,54,59,8
"322",7248191,1,69.69,60,71,49,16,71,8
"323",7248195,1,66.66,60,63,54,3,52,9
"324",7248198,1,81.81,60,66.5,44,3,62,9
"325",7248198,2,81.81,60,59.5,0,3,53,5
"326",7248206,1,81.81,60,66,44,23,39,6
"327",7248206,2,81.81,60,65.5,0,76,56,4
"328",7248225,1,75.75,60,58,50,16,28,4
"329",7248229,1,75.75,60,63,43,16,49,5
"330",7248229,2,75.75,60,71,0,23,62,5
"331",7248232,1,72.72,80,72,47,31,33,6
"332",7248232,2,72.72,60,60.5,0,51,44,5
"333",7248234,2,75.75,60,51.5,0,51,64,5
"334",7248242,5,72.72,60,69,0,36,45,7
"335",7248243,1,72.72,60,68,52,23,59,8
"336",7248243,2,72.72,60,69.5,0,23,38,7
"337",7248247,5,87.87,60,65,0,21,72,8
"338",7248250,1,75.75,60,73,53,29,33,8
"341",7248253,2,78.78,44,66.5,0,23,68,10
"342",7248264,1,68.17,60,64.5,57,31,52,8
"344",7248266,2,72.72,60,73,0,23,60,2
"345",7248269,1,81.81,60,67.5,47,16,38,5
"347",7248272,1,87.87,60,75,54,3,69,9
"348",7248280,5,66.66,60,68.5,0,3,60,9
"349",7248287,1,75.75,60,65,50,29,38,9
"350",7248288,2,78.78,60,61.5,0,29,55,9
"351",7248291,1,78.78,60,72.5,60,23,71,2
"354",7248310,1,90.9,60,64,57,23,56,7
"355",7248314,1,81.81,100,71,54,44,61,5
"356",7248315,1,78.78,60,71,57,23,59,9
"357",7248322,2,78.78,60,56,0,23,74,7
"358",7248334,1,90.9,60,69,57,21,61,8
"359",7248334,2,90.9,44,64.5,0,21,61,5
"361",7248340,9,90.9,44,63,0,64,81,4
"363",7248343,1,81.81,100,52.5,52,23,38,5
"364",7248343,2,81.81,60,69,0,21,43,4
"369",7248348,1,75.75,60,67.5,49,21,79,4
"371",7248364,1,75.75,60,71,66,31,64,7
"372",7248366,1,81.81,60,72.5,66,31,67,6
"373",7248367,1,75.75,60,68.5,69,23,52,2
"374",7248374,1,54.54,60,71.5,69,51,91,10
"375",7248378,1,66.66,60,72,69,44,52,10
"376",7248381,1,72.72,60,69,64,23,33,9
"377",7248383,1,54.54,60,68.5,72,3,86,8
"379",7248385,2,54.54,60,66,0,3,86,9
"380",7248385,5,54.54,60,69,0,23,52,10
"381",7248388,1,54.54,44,65.5,55,23,66,7
"382",7248388,2,54.54,44,60.5,0,21,65,9
"383",7248391,1,54.54,60,74,63,23,42,9
"385",7248398,1,54.54,60,68,63,23,91,8
"386",7248398,2,54.54,60,65,0,3,62,9
"389",7248412,4,81.81,60,60,0,23,27,8
"390",7248413,4,81.81,60,46,0,23,15,9
"391",7248419,1,78.78,60,71,69,31,45,5
"392",7248423,1,87.87,44,67,65,23,45,10
"393",7248427,1,78.78,80,69.5,64,23,71,7
"394",7248430,1,78.78,60,72.5,66,64,91,9
"395",7248430,2,78.78,60,65,0,23,76,9
"397",7248433,4,78.78,60,64,0,23,57,10
"398",7248437,1,78.78,60,65.5,69,3,40,8
"400",7248443,1,78.78,60,70,66,23,25,9
"401",7248445,1,66.66,80,66,52,36,72,9
"402",7248455,4,90.9,60,71,0,46,50,6
"403",7248462,1,87.87,60,66.5,68,55,67,9
"404",7248465,1,78.78,60,55.5,69,36,43,9
"405",7248466,1,87.87,44,71,63,36,72,10
"406",7248466,2,87.87,44,66,0,3,61,8
"407",7248468,1,69.69,60,66,62,36,59,9
"408",7248469,1,87.87,60,71,69,36,81,9
"412",7248490,2,63.63,60,55.5,0,23,63,10
"413",7248491,1,72.72,60,71,69,31,33,10
"416",7248493,1,81.81,60,72.5,69,23,71,10
"417",7248498,2,81.81,60,62,0,23,86,9
"418",7248502,1,81.81,60,76,67,51,57,10
"421",7248504,2,81.81,60,72.5,0,23,91,8
"422",7248505,1,81.81,80,71.5,69,23,91,8
"426",7248522,1,62.11,60,75,0,55,91,6
"428",7248528,1,60.6,60,71.5,66,54,86,9
"429",7248532,1,54.54,60,72.5,69,23,91,9
"430",7248533,1,45.45,44,74,69,62,91,10
"431",7248534,1,45.45,60,69.5,69,56,91,6
"432",7248538,1,51.51,60,66,69,61,37,7
"433",7248538,2,51.51,44,66.5,0,56,76,9
"434",7248539,1,45.45,60,61,57,50,42,7
"435",7248540,1,27.27,44,64.5,69,52,71,9
"437",7248541,2,39.39,60,69,0,23,91,8
"438",7248542,1,51.51,60,66,66,23,91,8
"439",7248542,2,51.51,60,72,0,36,81,9
"441",7248545,2,54.54,60,64,0,36,50,7
"442",7248550,1,60.6,60,66.5,63,23,62,8
"445",7248554,2,63.63,60,69,0,23,77,9
"446",7248556,1,54.54,60,68.5,69,3,63,8
"447",7248557,1,51.51,80,70,69,74,91,7
"448",7248557,2,51.51,80,72,0,36,69,5
"449",7248559,1,54.54,60,75,69,23,66,7
"450",7248561,1,63.63,60,59.5,69,23,71,9
"451",7248561,2,63.63,60,75,0,23,65,10
"452",7248563,2,54.54,60,76,0,23,49,9
"453",7248564,1,51.51,60,67.5,54,23,77,10
"454",7248566,5,60.6,60,66.5,0,3,80,10
"455",7248567,1,54.54,60,70,53,23,71,7
"456",7248567,2,54.54,60,71,0,3,82,8
"457",7248568,1,54.54,60,66,57,23,18,8
"459",7248571,5,69.69,60,65,0,44,75,10
"460",7248572,1,54.54,60,67,57,36,23,7
"461",7248574,1,54.54,44,67.5,64,36,61,10
"463",7248575,2,45.45,60,66.5,0,23,91,6
"464",7248578,1,63.63,60,72.5,68,23,72,9
"465",7248579,1,63.63,60,68.5,69,23,91,8
"468",7248582,1,45.45,60,50.5,69,23,70,8
"469",7248583,1,45.45,60,71,68,23,81,9
"470",7248591,1,45.45,60,69,68,23,66,6
"471",7248591,2,45.45,60,68.5,0,23,70,8
"472",7248593,2,63.63,44,71,0,23,77,8
"473",7248593,3,63.63,44,74,0,23,62,10
"474",7248596,2,45.45,60,70,0,23,71,8
"475",7248598,1,45.45,60,75,59,53,71,8
"476",7248598,2,45.45,60,62.5,0,23,56,8
"478",7248601,1,63.63,60,71,64,3,55,8
"479",7248601,2,63.63,44,68.5,0,29,54,8
"480",7248602,1,36.36,60,66,64,23,51,9
"482",7248603,1,45.45,60,68,64,23,59,8
"483",7248603,2,45.45,60,68,0,16,28,8
"484",7248604,1,45.45,60,68,66,16,76,8
"485",7248604,2,45.45,60,72,0,36,65,7
"486",7248604,4,45.45,60,50,0,36,34,5
"489",7248610,1,54.54,60,68.5,69,23,91,5
"490",7248610,2,54.54,60,72.5,0,23,64,8
"491",7248611,1,60.6,60,67,66,31,91,9
"493",7248618,1,54.54,60,67,69,23,91,8
"494",7248619,1,54.54,60,75,65,23,91,7
"495",7248621,1,63.63,80,69,60,31,91,8
"497",7248623,2,69.69,60,66,0,36,39,8
"499",7248625,1,54.54,60,71.5,60,23,66,3
"500",7248626,1,60.6,60,69,67,36,67,7
"502",7248634,1,51.51,44,73,69,23,50,8
"503",7248635,1,45.45,44,67,69,31,86,8
"504",7248635,2,45.45,44,64,0,36,33,7
"505",7248637,1,54.54,60,67,67,23,35,8
"509",7248641,2,60.6,44,65.5,0,23,91,9
"510",7248646,1,45.45,60,72.5,69,36,44,9
"511",7248646,2,45.45,60,65.5,0,23,86,9
"514",7248654,1,54.54,44,62,54,23,91,9
"515",7248655,1,45.45,44,73,54,3,84,8
"516",7248656,1,51.51,60,65,58,3,35,10
"520",7248663,2,63.63,60,65.5,0,3,74,4
"521",7248664,1,54.54,60,61.5,51,23,26,7
"522",7248666,2,45.45,60,63.5,0,23,19,9
"523",7248667,1,42.42,60,71,38,36,30,5
"527",7248674,1,45.45,60,62.5,35,36,45,5
"528",7248674,2,45.45,60,71,0,16,91,5
"530",7248676,1,54.54,60,67,66,36,79,10
"531",7248677,5,45.45,60,58.5,0,36,61,8
"532",7248679,1,54.54,60,65.5,59,36,54,10
"533",7248679,2,54.54,80,73,0,36,74,8
"534",7248680,1,63.63,60,64.5,53,23,58,10
"538",7248684,1,54.54,60,66.5,68,16,55,9
"539",7248688,1,54.54,44,68,71,36,77,5
"540",7248688,2,54.54,44,69,0,36,21,7
"541",7248689,1,45.45,60,62.5,59,23,49,8
"544",7248694,4,36.36,60,54,0,36,46,9
"545",7248697,1,45.45,44,71.5,65,36,61,9
"548",7248701,1,42.42,60,69,69,23,60,6
"549",7248702,1,54.54,60,49.5,59,36,66,7
"550",7248702,2,54.54,60,52,0,16,30,7
"551",7248703,3,45.45,60,63.5,0,16,91,8
"553",7248705,1,45.45,60,55,57,36,86,9
"554",7248708,1,63.63,60,70,58,23,64,4
"555",7248710,1,45.45,44,71,68,23,91,10
"556",7248710,2,45.45,44,59.5,0,23,74,7
"557",7248711,1,51.51,60,58.5,58,21,70,9
"560",7248713,2,45.45,60,60,0,23,50,7
"562",7248715,1,51.51,44,67,51,23,45,5
"563",7248716,2,45.45,44,69,0,23,43,5
"564",7248720,1,51.51,60,69,54,23,33,5
"565",7248722,1,60.6,44,75,36,36,52,8
"567",7248724,1,51.51,60,67,48,23,71,10
"568",7248726,1,60.6,60,61.5,67,23,56,10
"570",7248727,2,54.54,60,65,0,36,18,5
"571",7248729,1,54.54,60,62.5,55,36,64,6
"572",7248730,1,45.45,60,58,55,23,59,6
"573",7248732,1,42.42,60,68,62,23,66,6
"574",7248733,1,69.69,60,69,52,3,45,6
"575",7248735,1,54.54,60,53.5,55,23,40,10
"576",7248736,1,45.45,80,67,54,23,72,8
"580",7248742,1,45.45,60,69,47,23,64,10
"581",7248742,2,45.45,60,63.5,0,23,86,10
"583",7248745,1,54.54,60,52,46,23,22,7
"584",7248745,2,54.54,60,60,0,23,81,7
"585",7248746,1,54.54,60,66,49,23,40,8
"586",7248746,2,54.54,60,67.5,0,23,74,10
"587",7248747,1,45.45,60,71,45,54,47,8
"588",7248749,1,45.45,80,60,38,23,36,8
"589",7248753,1,57.57,44,65,34,1,76,8
"590",7248756,1,72.72,60,64.5,51,23,64,10
"591",7248759,1,54.54,60,63.5,45,23,74,10
"592",7248759,2,54.54,60,71,0,3,76,10
"593",7248764,1,54.54,60,65.5,36,23,59,10
"594",7248764,2,54.54,60,69,0,31,57,10
"595",7248765,1,48.48,60,61.5,32,31,77,10
"596",7248765,2,48.48,60,62,0,3,49,10
"597",7248768,1,48.48,60,67,50,23,29,8
"598",7248768,2,48.48,60,71,0,16,43,8
"600",7248769,2,45.45,60,53.5,0,3,76,8
"601",7248770,1,60.6,60,64,34,64,49,7
"602",7248772,1,54.54,60,67,55,23,61,8
"603",7248777,1,45.45,60,71,53,23,69,7
"604",7248780,1,54.54,44,62.5,54,23,54,7
"605",7248781,1,60.6,60,55.5,48,23,77,8
"606",7248782,1,45.45,60,71,54,23,81,8
"607",7248782,2,45.45,60,63.5,0,23,67,3
"610",7248793,1,45.45,60,67,67,23,64,8
"611",7248793,2,45.45,60,59,0,23,42,8
"612",7248794,1,36.36,60,62,55,16,30,8
"614",7248795,9,51.51,60,69,0,23,66,7
"616",7248801,2,45.45,60,73,0,36,91,7
"617",7248802,1,45.45,60,71,64,3,91,8
"620",7248808,5,72.72,60,68,0,36,62,6
"621",7248811,1,81.81,80,71.5,69,23,57,7
"623",7248815,1,81.81,60,60.5,39,36,64,6
"624",7248818,1,72.72,60,66.5,34,36,65,6
"625",7248818,2,72.72,60,57.5,0,23,58,6
"627",7248834,1,81.81,60,68,38,36,40,5
"628",7248834,2,81.81,60,66.5,0,3,40,6
"629",7248843,1,72.72,60,73.5,69,36,59,2
"630",7248844,1,78.78,60,69,63,36,22,2
"632",7248849,2,78.78,60,66.5,0,52,72,8
"633",7248850,1,36.36,60,69.5,64,68,71,7
"634",7248851,1,69.69,60,64,59,51,76,6
"635",7248852,1,69.69,80,75,49,51,44,9
"636",7248853,1,60.6,80,71,42,53,91,9
"638",7248862,1,57.57,60,71,67,21,86,10
"639",7248868,1,72.72,60,71,57,23,54,9
"640",7248870,1,57.57,60,68,46,29,47,8
"641",7248871,1,42.42,60,71,62,44,91,8
"642",7248878,1,54.54,60,65.5,55,29,91,7
"643",7248880,1,54.54,44,71,58,23,91,10
"645",7248886,1,84.84,60,71,47,52,35,10
"646",7248886,2,84.84,60,71,0,51,76,7
"647",7248892,3,90.9,44,70,0,52,86,8
"648",7248896,1,75.75,60,71,47,52,91,8
"649",7248899,1,78.78,60,71,37,54,81,8
"651",7248901,1,72.72,60,68,62,23,91,8
"652",7248903,1,90.9,60,69,58,51,59,10
"653",7248906,4,87.87,60,66.5,0,36,28,10
"654",7248907,1,84.84,44,69,54,23,91,10
"655",7248907,2,84.84,60,72.5,0,16,54,10
"657",7248909,4,75.75,60,70,0,36,76,9
"658",7248912,1,84.84,60,73,51,16,39,8
"659",7248913,1,78.78,60,69,57,36,63,7
"660",7248914,1,99.99,60,65,54,3,29,7
"661",7248918,1,78.78,80,71,61,56,86,8
"662",7248918,2,78.78,60,68.5,0,52,59,5
"663",7248919,1,80.29,60,71,59,66,33,8
"664",7248924,1,93.93,60,66.5,62,51,91,9
"665",7248925,1,90.9,60,71,61,56,77,10
"666",7248929,4,93.93,44,72,0,36,91,9
"667",7248931,1,90.9,44,69.5,64,36,47,9
"668",7248937,2,78.78,60,70,0,16,81,9
"669",7248944,1,87.87,44,71.5,56,36,82,9
"671",7248945,1,87.87,60,71.5,47,3,91,9
"672",7248948,5,81.81,60,72,0,21,61,8
"673",7248949,1,75.75,100,65,64,54,52,9
"674",7248949,2,75.75,60,68.5,0,3,91,9
"675",7248949,3,75.75,60,63.5,0,36,38,5
"676",7248951,4,87.87,44,68.5,0,23,91,7
"677",7248952,1,81.81,60,69,59,16,91,8
"678",7248952,2,81.81,60,67.5,0,3,86,7
"679",7248953,1,72.72,60,70,52,52,91,7
"680",7248956,1,81.81,60,66,55,3,91,5
"682",7248959,1,75.75,60,67.5,34,23,81,7
"683",7248963,2,72.72,60,65.5,0,23,59,8
"685",7248970,1,63.63,100,69,32,29,50,8
"686",7248971,1,72.72,100,68.5,49,23,91,8
"688",7248972,1,75.75,80,71,64,66,91,8
"689",7248972,2,75.75,60,71,0,44,71,8
"690",7248972,3,75.75,60,69,0,3,87,7
"691",7248974,1,84.84,60,71,53,23,43,7
"692",7248976,1,72.72,44,72,60,3,50,6
"693",7248976,2,72.72,60,71,0,21,50,5
"694",7248980,1,75.75,60,54,61,3,91,6
"695",7248983,4,75.75,60,66,0,21,81,9
"696",7248987,1,81.81,60,65.5,46,23,55,8
"697",7248987,2,81.81,80,68.5,0,53,71,9
"699",7248989,1,75.75,80,71,66,57,67,9
"700",7248990,1,69.69,60,67,66,76,67,7
"701",7248990,2,69.69,60,61.5,0,54,76,8
"702",7248990,3,69.69,60,61.5,0,59,73,9
"703",7248992,2,75.75,80,70,0,56,86,9
"707",7248999,2,66.66,60,74,0,51,86,9
"708",7249000,1,81.81,80,68.5,64,16,81,8
"709",7249000,2,81.81,60,66,0,52,49,8
"711",7249003,1,72.72,60,73.5,43,61,45,7
"712",7249003,2,72.72,60,69,0,23,66,9
"713",7249006,2,66.66,60,65.5,0,54,81,7
"714",7249008,1,72.72,60,71,54,61,61,10
