"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_salud","Satisfaccion_servicios_hogar","Satisfaccion_tecnologia","Satisfaccion_composicion_hogar","satisfaccion_total"
"9270",7323383,1,69.69,44,68,62,23,91,10
"9271",7323383,2,69.69,44,67,0,23,86,9
"9272",7323386,1,60.6,60,65.5,67,23,86,9
"9273",7323388,1,69.69,60,70,67,23,91,9
"9274",7323388,2,69.69,60,69,0,21,91,10
"9275",7323391,1,72.72,60,57,49,3,44,8
"9276",7323392,1,72.72,60,70,56,23,91,9
"9279",7323397,2,60.6,44,51.5,0,45,33,9
"9280",7323403,1,72.72,60,71,64,23,91,10
"9281",7323403,2,72.72,60,63,0,55,91,6
"9282",7323405,1,72.72,80,61,69,3,76,5
"9283",7323407,1,90.9,60,73,69,21,91,7
"9284",7323409,1,57.57,60,65.5,69,36,76,8
"9285",7323409,2,57.57,60,71.5,0,23,91,8
"9287",7323410,2,60.6,60,74,0,23,77,8
"9288",7323413,1,48.48,60,64,67,36,91,8
"9289",7323414,1,60.6,60,63,69,36,86,10
"9290",7323415,1,48.48,60,75,69,3,91,10
"9291",7323415,2,48.48,60,70.5,0,36,81,10
"9292",7323416,1,57.57,44,74,67,32,91,10
"9293",7323417,1,60.6,60,74,72,23,91,5
"9294",7323418,1,60.6,44,74,69,23,91,5
"9295",7323420,1,36.36,60,61,69,21,76,6
"9297",7323421,1,45.45,60,65,63,60,86,7
"9298",7323422,1,30.3,60,60,68,16,46,10
"9299",7323423,1,42.42,60,66.5,69,44,83,10
"9300",7323425,1,42.42,60,72.5,69,36,91,10
"9301",7323426,1,63.63,60,69,68,36,91,10
"9302",7323426,2,63.63,60,72.5,0,53,91,10
"9304",7323427,3,60.6,60,60.5,0,36,59,10
"9305",7323429,1,81.81,80,63.5,65,36,79,10
"9306",7323433,1,81.81,60,71,65,3,66,5
"9307",7323434,1,81.81,60,67.5,69,68,49,8
"9308",7323435,1,81.81,60,67,69,23,72,10
"9310",7323439,2,63.63,44,67,0,23,81,4
"9311",7323445,1,72.72,60,62,71,23,69,5
"9312",7323449,1,78.78,60,69,69,3,86,10
"9315",7323465,1,99.99,60,69,67,16,86,8
"9316",7323465,2,99.99,60,58,0,29,67,8
"9317",7323466,1,84.84,60,69.5,59,23,70,6
"9319",7323467,2,45.45,60,75,0,31,91,7
"9320",7323472,2,60.6,60,71.5,0,23,91,7
"9321",7323473,1,48.48,80,65,46,44,91,7
"9323",7323474,1,60.6,44,70,48,23,91,5
"9324",7323475,1,60.6,60,70,53,23,91,8
"9325",7323475,2,60.6,60,74,0,23,86,6
"9326",7323479,1,81.81,60,71,50,23,91,7
"9327",7323481,1,69.69,60,66,55,3,76,8
