"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"288",7248071,4,1
"289",7248072,3,34
"290",7248072,4,32
"291",7248075,4,32
"292",7248077,4,0
"293",7248086,5,31
"294",7248087,3,33
"295",7248087,4,28
"296",7248088,6,53
"297",7248090,8,37
"298",7248095,2,7
"299",7248096,3,29
"300",7248105,3,1
"301",7248107,3,24
"302",7248107,4,24
"303",7248120,3,44
"304",7248120,4,1
"305",7248124,2,16
"306",7248124,2,23
"307",7248124,2,16
"308",7248124,2,23
"309",7248127,5,24
"310",7248127,6,24
"311",7248128,3,30
"312",7248141,2,54
"313",7248146,3,30
"314",7248148,3,62
"315",7248151,4,64
"316",7248153,3,36
"317",7248153,4,36
"318",7248159,4,3
"319",7248159,5,3
"320",7248172,3,34
"321",7248175,4,32
"322",7248179,3,26
"323",7248180,3,32
"324",7248196,2,35
"325",7248196,3,29
"326",7248197,4,28
"327",7248199,3,36
"328",7248206,5,30
"329",7248209,5,3
"330",7248219,4,44
"331",7248235,2,0
"332",7248240,3,23
"333",7248240,4,0
"334",7248242,3,70
"335",7248242,4,42
"336",7248243,5,5
"337",7248245,4,32
"338",7248247,3,28
"339",7248247,4,30
"340",7248257,3,30
"341",7248258,3,28
"342",7248267,3,36
"343",7248275,3,29
"344",7248278,3,7
"345",7248280,4,30
"346",7248281,3,34
"347",7248290,6,33
"348",7248294,4,1
"349",7248294,5,1
"350",7248305,3,72
"351",7248306,3,68
"352",7248316,4,28
"353",7248316,7,1
"354",7248318,4,23
"355",7248320,4,1
"356",7248323,6,3
"357",7248328,3,3
"358",7248330,4,30
"359",7248330,5,30
"360",7248335,3,28
"361",7248336,2,28
"362",7248340,4,28
"363",7248340,8,22
"364",7248341,4,54
"365",7248342,3,0
"366",7248355,3,28
"367",7248359,4,1
"368",7248372,3,28
"369",7248372,4,25
"370",7248375,5,3
"371",7248376,3,28
"372",7248377,5,27
"373",7248387,3,23
"374",7248389,5,1
"375",7248391,7,3
"376",7248391,8,3
"377",7248392,4,3
"378",7248400,3,1
"379",7248401,3,3
"380",7248407,5,22
"381",7248407,6,25
"382",7248413,3,52
"383",7248417,3,23
"384",7248421,4,30
"385",7248422,3,32
"386",7248425,2,1
"387",7248425,3,1
"388",7248432,3,32
"389",7248432,4,10
"390",7248435,2,39
"391",7248435,3,31
"392",7248446,5,30
"393",7248453,4,34
"394",7248458,3,0
"395",7248459,5,0
"396",7248462,5,1
"397",7248462,6,0
"398",7248472,4,31
"399",7248477,3,30
"400",7248477,4,31
"401",7248479,3,3
"402",7248479,4,3
"403",7248480,5,30
"404",7248481,3,4
"405",7248490,2,23
"406",7248490,2,3
"407",7248495,3,29
"408",7248500,4,30
"409",7248502,3,70
"410",7248507,3,60
"411",7248507,4,36
"412",7248511,3,30
"413",7248511,4,30
"414",7248512,4,62
"415",7248517,2,30
"416",7248518,4,68
"417",7248523,2,36
"418",7248523,2,25
"419",7248542,6,30
"420",7248543,6,0
"421",7248549,4,28
"422",7248555,2,35
"423",7248562,3,3
"424",7248571,3,49
"425",7248571,4,3
"426",7248576,3,51
"427",7248584,4,3
"428",7248589,2,16
"429",7248595,3,26
"430",7248599,4,27
"431",7248605,3,56
"432",7248611,3,3
"433",7248626,3,3
"434",7248627,3,40
"435",7248627,4,1
"436",7248636,3,0
"437",7248636,4,0
"438",7248638,3,27
"439",7248639,3,24
"440",7248639,4,3
"441",7248646,4,62
"442",7248653,3,23
"443",7248659,4,23
"444",7248659,5,0
"445",7248662,3,0
"446",7248668,5,3
"447",7248672,5,23
"448",7248672,6,3
"449",7248677,4,23
"450",7248678,3,23
"451",7248690,3,23
"452",7248698,2,1
"453",7248700,3,27
"454",7248703,2,16
"455",7248709,3,1
"456",7248709,4,1
"457",7248721,3,1
"458",7248721,4,1
"459",7248721,5,1
"460",7248721,6,1
"461",7248728,2,26
"462",7248734,5,34
"463",7248745,3,0
"464",7248746,6,58
"465",7248751,2,23
"466",7248751,3,23
"467",7248753,4,1
