"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"288",7248087,4,48
"289",7248088,6,48
"290",7248090,8,48
"291",7248095,2,32
"292",7248096,3,48
"293",7248105,3,32
"294",7248107,3,32
"295",7248107,4,32
"296",7248120,3,32
"297",7248120,4,32
"298",7248124,2,48
"299",7248124,2,48
"300",7248127,5,48
"301",7248127,6,40
"302",7248128,3,48
"303",7248146,3,48
"304",7248148,3,48
"305",7248151,4,48
"306",7248153,3,48
"307",7248153,4,48
"308",7248159,4,26
"309",7248159,5,14
"310",7248172,3,32
"311",7248175,4,48
"312",7248179,3,48
"313",7248180,3,48
"314",7248196,2,32
"315",7248196,3,32
"316",7248197,4,48
"317",7248199,3,32
"318",7248206,5,24
"319",7248209,5,14
"320",7248219,4,32
"321",7248235,2,28
"322",7248240,3,32
"323",7248240,4,32
"324",7248242,3,32
"325",7248242,4,32
"326",7248243,5,48
"327",7248245,4,48
"328",7248247,3,32
"329",7248247,4,32
"330",7248257,3,56
"331",7248258,3,32
"332",7248267,3,32
"333",7248275,3,32
"334",7248278,3,56
"335",7248280,4,64
"336",7248281,3,32
"337",7248290,6,32
"338",7248294,4,48
"339",7248294,5,48
"340",7248305,3,32
"341",7248316,4,32
"342",7248316,7,32
"343",7248318,4,32
"344",7248320,4,32
"345",7248323,6,40
"346",7248328,3,20
"347",7248330,4,56
"348",7248330,5,56
"349",7248335,3,56
"350",7248336,2,56
"351",7248340,4,56
"352",7248340,8,56
"353",7248341,4,48
"354",7248342,3,12
"355",7248355,3,64
"356",7248359,4,56
"357",7248372,3,48
"358",7248372,4,48
"359",7248375,5,64
"360",7248376,3,48
"361",7248377,5,48
"362",7248387,3,14
"363",7248389,5,32
"364",7248391,7,32
"365",7248391,8,32
"366",7248392,4,48
"367",7248400,3,48
"368",7248401,3,32
"369",7248407,5,26
"370",7248407,6,48
"371",7248413,3,64
"372",7248417,3,64
"373",7248421,4,64
"374",7248422,3,56
"375",7248425,2,32
"376",7248425,3,24
"377",7248432,3,64
"378",7248432,4,56
"379",7248435,2,64
"380",7248435,3,64
"381",7248446,5,48
"382",7248453,4,48
"383",7248458,3,32
"384",7248459,5,24
"385",7248462,5,32
"386",7248462,6,32
"387",7248472,4,48
"388",7248477,3,48
"389",7248477,4,40
"390",7248479,3,48
"391",7248479,4,40
"392",7248480,5,48
"393",7248481,3,32
"394",7248490,2,32
"395",7248495,3,48
"396",7248500,4,48
"397",7248502,3,48
"398",7248507,3,48
"399",7248507,4,48
"400",7248511,3,48
"401",7248511,4,40
"402",7248512,4,48
"403",7248517,2,48
"404",7248518,4,48
"405",7248523,2,48
"406",7248542,6,64
"407",7248543,6,32
"408",7248549,4,32
"409",7248555,2,48
"410",7248562,3,48
"411",7248571,3,32
"412",7248571,4,14
"413",7248576,3,48
"414",7248584,4,14
"415",7248589,2,14
"416",7248595,3,32
"417",7248599,4,32
"418",7248605,3,48
"419",7248611,3,32
"420",7248626,3,48
"421",7248627,3,48
"422",7248627,4,48
"423",7248636,3,40
"424",7248636,4,40
"425",7248638,3,40
"426",7248639,3,48
"427",7248639,4,48
"428",7248646,4,48
"429",7248653,3,48
"430",7248659,4,48
"431",7248659,5,48
"432",7248662,3,14
"433",7248668,5,40
"434",7248672,5,56
"435",7248672,6,56
"436",7248677,4,64
"437",7248678,3,48
"438",7248690,3,48
"439",7248698,2,48
"440",7248700,3,48
"441",7248703,2,12
"442",7248709,3,48
"443",7248709,4,40
"444",7248721,3,48
"445",7248721,4,48
"446",7248721,5,48
"447",7248721,6,40
"448",7248728,2,48
"449",7248734,5,48
"450",7248745,3,48
"451",7248746,6,48
"452",7248751,2,48
"453",7248751,3,48
"454",7248753,4,48
"455",7248754,3,48
"456",7248754,4,48
"457",7248755,3,48
"458",7248756,5,48
"459",7248757,4,48
"460",7248758,3,48
"461",7248763,5,64
"462",7248765,6,48
"463",7248773,4,48
"464",7248775,5,48
"465",7248784,5,48
"466",7248787,3,14
"467",7248791,5,64
"468",7248792,4,40
"469",7248795,4,48
"470",7248806,2,48
"471",7248808,4,32
"472",7248811,4,24
"473",7248816,4,48
"474",7248819,3,56
"475",7248820,5,32
"476",7248822,2,48
"477",7248824,3,48
"478",7248829,3,64
"479",7248831,3,48
"480",7248835,3,32
"481",7248837,2,64
"482",7248838,2,24
"483",7248839,3,48
"484",7248840,3,40
"485",7248844,3,48
"486",7248864,3,32
"487",7248869,3,64
"488",7248872,5,18
"489",7248876,3,48
"490",7248877,3,64
"491",7248877,4,56
"492",7248883,5,48
"493",7248883,6,56
"494",7248887,2,64
"495",7248898,4,56
"496",7248900,7,48
"497",7248902,4,40
"498",7248906,2,48
"499",7248906,3,48
"500",7248908,5,48
"501",7248908,6,48
"502",7248911,2,48
"503",7248911,3,48
"504",7248915,3,40
"505",7248916,3,48
"506",7248921,3,64
"507",7248925,4,48
"508",7248927,3,56
"509",7248929,3,48
"510",7248932,3,64
"511",7248934,3,48
"512",7248938,3,26
"513",7248940,3,48
"514",7248940,7,48
"515",7248941,3,26
"516",7248944,3,48
"517",7248946,4,32
"518",7248946,5,32
"519",7248948,3,48
"520",7248950,2,64
"521",7248950,3,64
"522",7248952,5,32
"523",7248957,3,64
"524",7248960,3,32
"525",7248965,3,48
"526",7248966,4,48
"527",7248977,3,48
"528",7248983,3,64
"529",7248991,5,48
"530",7248991,6,40
"531",7248997,3,48
"532",7249016,6,24
"533",7249021,3,48
"534",7249021,4,48
"535",7249036,3,40
"536",7249037,4,48
"537",7249038,2,64
"538",7249050,5,48
"539",7249050,6,48
"540",7249055,3,24
"541",7249056,3,48
"542",7249057,3,32
"543",7249058,3,48
"544",7249059,3,48
"545",7249059,4,48
"546",7249060,2,40
"547",7249070,3,48
"548",7249070,4,48
"549",7249077,3,48
"550",7249077,4,48
"551",7249078,3,48
"552",7249079,2,48
"553",7249081,5,48
"554",7249083,6,48
"555",7249085,2,48
"556",7249087,4,32
"557",7249087,5,32
"558",7249093,3,32
"559",7249097,3,48
"560",7249097,4,48
"561",7249097,5,48
"562",7249097,6,48
"563",7249098,3,48
"564",7249099,5,14
"565",7249100,5,48
"566",7249109,4,48
"567",7249109,5,48
"568",7249113,4,48
"569",7249114,3,32
"570",7249114,4,32
"571",7249116,3,32
"572",7249117,4,12
"573",7249117,5,48
"574",7249118,3,48
"575",7249118,4,40
"576",7249118,5,48
"577",7249119,4,48
"578",7249119,5,48
"579",7249123,3,26
"580",7249123,4,40
"581",7249125,2,48
"582",7249131,3,48
"583",7249136,4,32
"584",7249142,3,32
"585",7249152,3,48
"586",7249155,5,32
"587",7249155,6,48
"588",7249157,4,64
"589",7249160,7,48
"590",7249166,6,24
"591",7249169,3,40
"592",7249180,3,32
"593",7249183,4,48
"594",7249184,5,48
"595",7249184,6,40
"596",7249185,3,24
"597",7249187,3,56
"598",7249189,3,40
"599",7249201,4,32
"600",7249211,2,48
"601",7249237,3,48
"602",7249237,5,12
"603",7249240,5,24
"604",7249245,3,48
"605",7249251,5,48
"606",7249252,2,40
"607",7249255,3,32
"608",7249255,4,32
"609",7249258,3,32
"610",7249260,5,24
"611",7249261,4,32
"612",7249261,5,24
"613",7249269,3,48
"614",7249273,3,64
"615",7249276,3,22
"616",7249277,3,48
"617",7249278,4,48
"618",7249282,4,48
"619",7249285,4,40
"620",7249285,6,48
"621",7249287,3,40
"622",7249290,3,32
"623",7249292,6,48
"624",7249293,2,32
"625",7249296,4,48
"626",7249298,4,48
"627",7249298,5,24
"628",7249304,3,32
"629",7249306,3,24
"630",7249308,4,48
"631",7249311,3,48
"632",7249317,5,24
"633",7249319,3,48
"634",7249319,4,48
"635",7249320,2,32
"636",7249322,2,56
"637",7249322,3,56
"638",7249324,3,64
"639",7249324,4,56
"640",7249329,2,48
"641",7249329,3,48
"642",7249329,4,48
"643",7249330,4,32
"644",7249342,5,32
"645",7249344,4,32
"646",7249344,5,32
"647",7249349,5,14
"648",7249351,3,32
"649",7249361,4,48
"650",7249362,3,32
"651",7249362,4,32
"652",7249364,3,32
"653",7249365,8,48
"654",7249372,4,32
"655",7249377,3,28
"656",7249379,6,32
"657",7249380,6,32
"658",7249382,3,32
"659",7249382,4,14
"660",7249385,5,32
"661",7249386,3,32
"662",7249386,4,32
"663",7249388,2,32
"664",7249394,4,32
"665",7249394,5,32
"666",7249396,2,24
"667",7249398,3,26
"668",7249398,4,32
"669",7249401,3,48
"670",7249406,3,32
"671",7249407,2,32
"672",7249408,3,32
"673",7249408,4,32
"674",7249409,4,32
"675",7249413,4,32
"676",7249424,2,32
"677",7249431,3,32
"678",7249431,4,32
"679",7249432,3,32
"680",7249432,4,32
"681",7249433,4,32
"682",7249434,3,32
"683",7249434,4,24
"684",7249435,3,48
"685",7249436,3,32
"686",7249448,3,14
"687",7249453,4,48
"688",7249454,3,28
"689",7249457,3,48
"690",7249458,3,48
"691",7249462,3,48
"692",7249464,4,48
"693",7249464,5,48
"694",7249472,3,48
"695",7249482,2,32
"696",7249488,3,48
"697",7249494,3,32
"698",7249498,5,32
"699",7249508,4,48
"700",7249509,4,48
"701",7249510,2,48
"702",7249510,3,48
"703",7249516,3,32
"704",7249517,3,48
"705",7249518,3,48
"706",7249519,4,64
"707",7249522,3,48
"708",7249530,4,48
"709",7249539,3,48
"710",7249539,4,28
"711",7249541,3,48
"712",7249544,4,64
"713",7249546,4,26
"714",7249548,4,48
"715",7249548,5,48
"716",7249562,5,32
"717",7249562,6,24
"718",7249570,3,48
"719",7249570,5,64
"720",7249571,4,64
"721",7249572,4,28
"722",7249573,3,32
"723",7249573,4,24
"724",7249581,2,32
"725",7249586,2,48
"726",7249587,3,64
"727",7249592,3,32
"728",7249592,4,24
"729",7249593,5,32
"730",7249598,3,48
"731",7249609,2,28
"732",7249609,3,20
"733",7249609,3,28
"734",7249614,2,32
"735",7249618,3,48
"736",7249620,4,32
"737",7249621,4,48
"738",7249622,3,28
"739",7249622,4,28
"740",7249631,3,28
"741",7249641,4,56
"742",7249644,3,48
"743",7249647,4,28
"744",7249651,4,48
"745",7249653,3,28
"746",7249655,2,32
"747",7249662,2,48
"748",7249662,3,48
"749",7249664,3,64
"750",7249669,4,56
"751",7249669,5,48
"752",7249683,3,32
"753",7249683,4,32
"754",7249698,3,56
"755",7249699,3,32
"756",7249699,4,32
"757",7249709,3,48
"758",7249710,2,40
"759",7249715,3,48
"760",7249717,2,32
"761",7249720,5,48
"762",7249723,3,32
"763",7249727,4,32
"764",7249744,5,64
"765",7249745,3,20
"766",7249745,4,20
"767",7249747,3,64
"768",7249758,5,32
"769",7249763,4,64
"770",7249764,5,28
"771",7249765,3,64
"772",7249767,3,32
"773",7249780,3,48
"774",7249780,4,48
"775",7249783,4,32
"776",7249792,3,48
"777",7249804,3,12
"778",7249805,2,64
"779",7249806,3,40
"780",7249812,3,64
"781",7249824,3,48
"782",7249824,4,48
"783",7249826,3,48
"784",7249830,4,64
"785",7249832,3,48
"786",7249835,3,64
"787",7249836,4,64
"788",7249837,3,48
"789",7249839,3,48
"790",7249844,3,28
"791",7249844,4,20
"792",7249845,3,48
"793",7249845,4,64
"794",7249847,3,40
"795",7249865,3,64
"796",7249870,3,48
"797",7249877,3,26
"798",7249881,3,48
"799",7249881,4,48
"800",7249883,3,48
"801",7249887,4,28
"802",7249897,3,64
"803",7249898,4,48
"804",7249902,3,24
"805",7249903,4,56
"806",7249905,4,32
"807",7249905,6,32
"808",7249908,5,32
"809",7249908,6,32
"810",7249909,3,32
"811",7249909,4,32
"812",7249909,5,48
"813",7249911,3,48
"814",7249913,3,48
"815",7249913,4,48
"816",7249922,3,32
"817",7249925,3,32
"818",7249926,3,48
"819",7249935,3,48
"820",7249935,4,40
"821",7249937,5,64
"822",7249938,4,48
"823",7249938,5,48
"824",7249946,3,56
"825",7249946,4,56
"826",7249947,5,56
"827",7249950,3,48
"828",7249951,5,48
"829",7249952,3,48
"830",7249952,4,48
"831",7249953,4,64
"832",7249957,4,48
"833",7249958,6,40
"834",7249958,7,40
"835",7249959,6,48
"836",7249972,3,20
"837",7249973,3,32
"838",7249973,4,32
"839",7249977,4,40
"840",7249988,2,56
"841",7249988,3,56
"842",7249989,3,48
"843",7249990,3,64
"844",7249991,3,40
"845",7249995,5,64
"846",7249996,3,40
"847",7250001,3,24
"848",7250005,3,64
"849",7250007,3,26
"850",7250007,4,56
"851",7250018,3,48
"852",7250018,4,48
"853",7250019,3,48
"854",7250019,4,40
"855",7250020,3,48
"856",7250021,3,32
"857",7250021,4,40
"858",7250026,3,32
"859",7250029,4,32
"860",7250029,5,32
"861",7250029,6,32
"862",7250043,3,48
"863",7250043,4,48
"864",7250052,2,28
"865",7250055,3,48
"866",7250057,4,40
"867",7250058,5,56
"868",7250059,3,56
"869",7250059,4,56
"870",7250060,3,64
"871",7250060,4,64
"872",7250063,5,28
"873",7250065,5,48
"874",7250066,5,48
"875",7250067,4,48
"876",7250070,4,56
"877",7250070,5,56
"878",7250070,6,56
"879",7250071,2,48
"880",7250071,3,48
"881",7250072,2,48
"882",7250073,3,48
"883",7250075,3,40
"884",7250076,5,48
"885",7250078,3,40
"886",7250079,3,48
"887",7250079,4,40
"888",7250080,3,48
"889",7250085,5,40
"890",7250086,4,48
"891",7250086,5,48
"892",7250093,3,48
"893",7250099,5,48
"894",7250099,6,48
"895",7250100,3,48
"896",7250100,4,48
"897",7250101,3,48
"898",7250105,5,48
"899",7250106,5,32
"900",7250110,2,32
"901",7250115,3,12
"902",7250116,2,48
"903",7250116,3,48
"904",7250118,3,48
"905",7250118,4,40
"906",7250126,3,48
"907",7250126,4,48
"908",7250126,5,48
"909",7250129,5,48
"910",7250132,5,48
"911",7250137,3,48
"912",7250137,4,48
"913",7250138,3,48
"914",7250140,3,48
"915",7250145,3,48
"916",7250146,3,48
"917",7250148,3,40
"918",7250149,5,40
"919",7250152,3,48
"920",7250152,4,40
"921",7250155,4,48
"922",7250161,3,64
"923",7250162,5,48
"924",7250168,4,48
"925",7250168,5,48
"926",7250169,5,64
"927",7250171,3,24
"928",7250172,3,32
"929",7250173,3,24
"930",7250175,8,24
"931",7250175,9,24
"932",7250178,3,24
"933",7250182,6,48
"934",7250188,5,48
"935",7250188,6,48
"936",7250196,3,48
"937",7250198,3,48
"938",7250202,2,48
"939",7250215,3,64
"940",7250215,4,64
"941",7250222,4,56
"942",7250222,5,48
"943",7250224,3,28
"944",7250235,3,48
"945",7250238,3,48
"946",7250246,2,32
"947",7250249,2,48
"948",7250255,4,48
"949",7250255,5,48
"950",7250257,5,48
"951",7250257,6,48
"952",7250261,3,48
"953",7250264,4,64
"954",7250268,3,32
"955",7250268,4,24
"956",7250269,3,40
"957",7250269,4,40
"958",7250272,2,48
"959",7250274,3,32
"960",7250274,4,32
"961",7250280,3,64
"962",7250282,3,64
"963",7250282,4,56
"964",7250286,6,48
"965",7250286,7,48
"966",7250286,8,48
"967",7250288,4,48
"968",7250289,4,48
