"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"288",7248619,1,82
"289",7248621,1,91
"290",7248623,1,81
"291",7248624,1,64
"292",7248625,1,48
"293",7248626,1,59
"294",7248634,1,66
"295",7248635,1,61
"296",7248637,1,91
"297",7248640,1,56
"298",7248641,1,59
"299",7248646,1,81
"300",7248651,1,53
"301",7248654,1,53
"302",7248655,1,58
"303",7248656,1,76
"304",7248657,1,53
"305",7248661,1,70
"306",7248663,1,53
"307",7248664,1,27
"308",7248667,1,39
"309",7248668,1,52
"310",7248670,1,86
"311",7248674,1,71
"312",7248675,1,91
"313",7248676,1,76
"314",7248679,1,81
"315",7248680,1,91
"316",7248683,1,76
"317",7248684,1,69
"318",7248688,1,69
"319",7248689,1,91
"320",7248693,1,40
"321",7248697,1,59
"322",7248699,1,71
"323",7248701,1,52
"324",7248702,1,62
"325",7248704,1,53
"326",7248705,1,39
"327",7248708,1,56
"328",7248710,1,28
"329",7248711,1,49
"330",7248713,1,62
"331",7248714,1,33
"332",7248715,1,44
"333",7248720,1,64
"334",7248722,1,45
"335",7248723,1,59
"336",7248724,1,38
"337",7248726,1,72
"338",7248727,1,33
"339",7248729,1,86
"340",7248730,1,69
"341",7248732,1,68
"342",7248733,1,52
"343",7248735,1,64
"344",7248736,1,60
"345",7248737,1,38
"346",7248740,1,20
"347",7248742,1,69
"348",7248743,1,60
"349",7248745,1,38
"350",7248746,1,55
"351",7248747,1,71
"352",7248749,1,91
"353",7248753,1,43
"354",7248756,1,56
"355",7248759,1,61
"356",7248764,1,59
"357",7248765,1,74
"358",7248768,1,61
"359",7248769,1,61
"360",7248770,1,84
"361",7248772,1,81
"362",7248777,1,61
"363",7248780,1,38
"364",7248781,1,43
"365",7248782,1,45
"366",7248786,1,76
"367",7248793,1,66
"368",7248794,1,56
"369",7248801,1,79
"370",7248802,1,45
"371",7248804,1,64
"372",7248811,1,67
"373",7248813,1,52
"374",7248815,1,91
"375",7248818,1,52
"376",7248834,1,33
"377",7248843,1,86
"378",7248844,1,77
"379",7248848,1,86
"380",7248850,1,52
"381",7248851,1,66
"382",7248852,1,65
"383",7248853,1,42
"384",7248861,1,52
"385",7248862,1,91
"386",7248868,1,62
"387",7248870,1,39
"388",7248871,1,91
"389",7248878,1,27
"390",7248880,1,15
"391",7248884,1,45
"392",7248886,1,45
"393",7248896,1,71
"394",7248899,1,91
"395",7248901,1,76
"396",7248903,1,67
"397",7248907,1,57
"398",7248908,1,40
"399",7248912,1,82
"400",7248913,1,25
"401",7248914,1,72
"402",7248918,1,50
"403",7248919,1,67
"404",7248924,1,43
"405",7248925,1,72
"406",7248931,1,61
"407",7248944,1,59
"408",7248945,1,81
"409",7248949,1,61
"410",7248952,1,82
"411",7248953,1,91
"412",7248956,1,63
"413",7248958,1,33
"414",7248959,1,81
"415",7248965,1,71
"416",7248970,1,71
"417",7248971,1,86
"418",7248972,1,57
"419",7248974,1,76
"420",7248976,1,91
"421",7248980,1,91
"422",7248987,1,91
"423",7248988,1,91
"424",7248989,1,91
"425",7248990,1,91
"426",7248993,1,91
"427",7248995,1,52
"428",7248999,1,86
"429",7249000,1,91
"430",7249002,1,91
"431",7249003,1,91
"432",7249008,1,37
"433",7249012,1,76
"434",7249014,1,42
"435",7249016,1,71
"436",7249022,1,64
"437",7249023,1,91
"438",7249024,1,91
"439",7249025,1,81
"440",7249026,1,51
"441",7249028,1,50
"442",7249029,1,62
"443",7249030,1,79
"444",7249032,1,91
"445",7249034,1,77
"446",7249035,1,63
"447",7249041,1,91
"448",7249043,1,69
"449",7249044,1,66
"450",7249045,1,71
"451",7249046,1,65
"452",7249048,1,49
"453",7249049,1,77
"454",7249052,1,80
"455",7249078,1,71
"456",7249080,1,82
"457",7249081,1,18
"458",7249083,1,67
"459",7249084,1,75
"460",7249085,1,23
"461",7249088,1,61
"462",7249096,1,71
"463",7249100,1,91
"464",7249106,1,72
"465",7249107,1,91
"466",7249114,1,81
"467",7249124,1,77
"468",7249128,1,70
"469",7249136,1,81
"470",7249143,1,66
"471",7249144,1,70
"472",7249146,1,77
"473",7249147,1,62
"474",7249148,1,71
"475",7249149,1,71
"476",7249154,1,56
"477",7249155,1,59
"478",7249156,1,55
"479",7249161,1,54
"480",7249162,1,51
"481",7249164,1,61
"482",7249165,1,59
"483",7249172,1,28
"484",7249178,1,76
"485",7249184,1,65
"486",7249185,1,34
"487",7249186,1,54
"488",7249190,1,59
"489",7249193,1,91
"490",7249197,1,64
"491",7249202,1,91
"492",7249203,1,91
"493",7249205,1,91
"494",7249208,1,91
"495",7249209,1,91
"496",7249215,1,37
"497",7249216,1,39
"498",7249217,1,62
"499",7249218,1,66
"500",7249221,1,67
"501",7249222,1,66
"502",7249224,1,50
"503",7249233,1,86
"504",7249246,1,33
"505",7249248,1,35
"506",7249251,1,43
"507",7249254,1,23
"508",7249257,1,79
"509",7249258,1,91
"510",7249262,1,44
"511",7249263,1,86
"512",7249266,1,86
"513",7249268,1,81
"514",7249274,1,91
"515",7249281,1,84
"516",7249285,1,35
"517",7249292,1,87
"518",7249301,1,71
"519",7249309,1,41
"520",7249328,1,74
"521",7249340,1,26
"522",7249350,1,19
"523",7249371,1,30
"524",7249380,1,69
"525",7249381,1,64
"526",7249383,1,84
"527",7249388,1,45
"528",7249395,1,91
"529",7249399,1,74
"530",7249403,1,79
"531",7249412,1,61
"532",7249416,1,54
"533",7249438,1,74
"534",7249446,1,58
"535",7249455,1,86
"536",7249462,1,40
"537",7249463,1,72
"538",7249474,1,55
"539",7249491,1,77
"540",7249492,1,21
"541",7249494,1,49
"542",7249497,1,74
"543",7249500,1,91
"544",7249501,1,46
"545",7249507,1,61
"546",7249511,1,38
"547",7249512,1,66
"548",7249531,1,60
"549",7249545,1,66
"550",7249552,1,30
"551",7249555,1,91
"552",7249565,1,61
"553",7249575,1,86
"554",7249593,1,64
"555",7249603,1,91
"556",7249606,1,74
"557",7249607,1,70
"558",7249620,1,61
"559",7249622,1,59
"560",7249622,1,50
"561",7249633,1,66
"562",7249658,1,45
"563",7249659,1,43
"564",7249664,1,33
"565",7249670,1,52
"566",7249673,1,56
"567",7249679,1,71
"568",7249686,1,56
"569",7249701,1,51
"570",7249702,1,18
"571",7249707,1,64
"572",7249718,1,59
"573",7249719,1,66
"574",7249721,1,45
"575",7249725,1,40
"576",7249731,1,72
"577",7249744,1,64
"578",7249750,1,50
"579",7249755,1,71
"580",7249775,1,64
"581",7249777,1,86
"582",7249781,1,43
"583",7249785,1,22
"584",7249789,1,81
"585",7249791,1,40
"586",7249795,1,74
"587",7249801,1,47
"588",7249802,1,36
"589",7249803,1,76
"590",7249807,1,64
"591",7249810,1,74
"592",7249811,1,76
"593",7249812,1,59
"594",7249818,1,57
"595",7249827,1,77
"596",7249828,1,49
"597",7249829,1,29
"598",7249831,1,43
"599",7249834,1,64
"600",7249835,1,76
"601",7249838,1,49
"602",7249846,1,61
"603",7249848,1,69
"604",7249851,1,54
"605",7249861,1,77
"606",7249863,1,81
"607",7249864,1,67
"608",7249865,1,91
"609",7249866,1,50
"610",7249868,1,64
"611",7249872,1,42
"612",7249890,1,30
"613",7249894,1,82
"614",7249911,1,66
"615",7249919,1,81
"616",7249939,1,91
"617",7249941,1,91
"618",7249956,1,45
"619",7249959,1,30
"620",7249964,1,62
"621",7249968,1,57
"622",7249969,1,71
"623",7249970,1,64
"624",7249975,1,65
"625",7249978,1,58
"626",7249979,1,61
"627",7249980,1,40
"628",7250000,1,40
"629",7250004,1,59
"630",7250006,1,22
"631",7250046,1,87
"632",7250051,1,72
"633",7250057,1,71
"634",7250058,1,76
"635",7250063,1,44
"636",7250073,1,91
"637",7250074,1,81
"638",7250079,1,86
"639",7250080,1,54
"640",7250087,1,47
"641",7250091,1,91
"642",7250096,1,91
"643",7250098,1,91
"644",7250108,1,91
"645",7250109,1,35
"646",7250112,1,76
"647",7250114,1,86
"648",7250120,1,91
"649",7250127,1,81
"650",7250128,1,91
"651",7250134,1,91
"652",7250135,1,59
"653",7250142,1,28
"654",7250143,1,91
"655",7250147,1,54
"656",7250149,1,86
"657",7250153,1,76
"658",7250156,1,39
"659",7250159,1,63
"660",7250167,1,29
"661",7250170,1,86
"662",7250176,1,59
"663",7250179,1,33
"664",7250182,1,91
"665",7250205,1,77
"666",7250207,1,91
"667",7250210,1,47
"668",7250213,1,81
"669",7250226,1,82
"670",7250227,1,66
"671",7250229,1,91
"672",7250239,1,61
"673",7250244,1,52
"674",7250258,1,91
"675",7250263,1,38
"676",7250267,1,91
"677",7250270,1,91
"678",7250271,1,86
"679",7250273,1,91
"680",7250278,1,91
"681",7250279,1,91
"682",7250290,1,81
"683",7250292,1,59
"684",7250295,1,20
"685",7250304,1,50
"686",7250305,1,91
"687",7250325,1,91
"688",7250327,1,91
"689",7250329,1,71
"690",7250331,1,87
"691",7250333,1,43
"692",7250334,1,50
"693",7250337,1,50
"694",7250339,1,91
"695",7250342,1,81
"696",7250345,1,55
"697",7250349,1,71
"698",7250351,1,76
"699",7250354,1,67
"700",7250363,1,67
"701",7250366,1,76
"702",7250370,1,73
"703",7250372,1,86
"704",7250374,1,42
"705",7250379,1,79
"706",7250387,1,71
"707",7250388,1,86
"708",7250389,1,81
"709",7250394,1,49
"710",7250402,1,72
"711",7250403,1,45
"712",7250411,1,66
"713",7250412,1,81
"714",7250417,1,61
"715",7250419,1,55
"716",7250420,1,45
"717",7250422,1,86
"718",7250425,1,66
"719",7250428,1,49
"720",7250433,1,54
"721",7250437,1,65
"722",7250439,1,56
"723",7250453,1,81
"724",7250454,1,86
"725",7250468,1,81
"726",7250469,1,64
"727",7250476,1,81
"728",7250477,1,56
"729",7250482,1,54
"730",7250486,1,67
"731",7250487,1,81
"732",7250488,1,81
"733",7250492,1,91
"734",7250495,1,91
"735",7250498,1,55
"736",7250507,1,33
"737",7250520,1,81
"738",7250544,1,61
"739",7250547,1,76
"740",7250553,1,40
"741",7250558,1,61
"742",7250560,1,64
"743",7250561,1,70
"744",7250563,1,91
"745",7250564,1,81
"746",7250568,1,74
"747",7250571,1,71
"748",7250573,1,91
"749",7250578,1,81
"750",7250582,1,91
"751",7250583,1,45
"752",7250584,1,86
"753",7250587,1,76
"754",7250593,1,72
"755",7250599,1,77
"756",7250602,1,38
"757",7250604,1,91
"758",7250609,1,75
"759",7250610,1,47
"760",7250612,1,79
"761",7250616,1,91
"762",7250628,1,77
"763",7250630,1,71
"764",7250631,1,50
"765",7250632,1,54
"766",7250638,1,84
"767",7250641,1,91
"768",7250644,1,82
"769",7250646,1,82
"770",7250647,1,91
"771",7250650,1,54
"772",7250655,1,59
"773",7250658,1,59
"774",7250663,1,37
"775",7250664,1,81
"776",7250673,1,54
"777",7250689,1,69
"778",7250696,1,66
"779",7250702,1,76
"780",7250703,1,81
"781",7250710,1,79
"782",7250721,1,54
"783",7250724,1,48
"784",7250733,1,74
"785",7250734,1,79
"786",7250739,1,86
"787",7250741,1,42
"788",7250742,1,36
"789",7250743,1,71
"790",7250744,1,76
"791",7250745,1,66
"792",7250746,1,86
"793",7250750,1,71
"794",7250752,1,86
"795",7250758,1,91
"796",7250759,1,55
"797",7250762,1,62
"798",7250763,1,45
"799",7250775,1,91
"800",7250777,1,31
"801",7250778,1,43
"802",7250779,1,72
"803",7250791,1,81
"804",7250803,1,82
"805",7250804,1,50
"806",7250805,1,91
"807",7250810,1,91
"808",7250826,1,86
"809",7250829,1,76
"810",7250830,1,76
"811",7250832,1,56
"812",7250840,1,65
"813",7250850,1,61
"814",7250851,1,67
"815",7250857,1,62
"816",7250858,1,76
"817",7250859,1,91
"818",7250862,1,23
"819",7250863,1,61
"820",7250868,1,91
"821",7250870,1,54
"822",7250871,1,86
"823",7250872,1,56
"824",7250873,1,79
"825",7250877,1,91
"826",7250879,1,91
"827",7250880,1,86
"828",7250881,1,91
"829",7250882,1,91
"830",7250883,1,91
"831",7250885,1,69
"832",7250888,1,91
"833",7250889,1,60
"834",7250890,1,91
"835",7250892,1,91
"836",7250895,1,91
"837",7250896,1,67
"838",7250897,1,79
"839",7250898,1,82
"840",7250901,1,91
"841",7250902,1,91
"842",7250903,1,47
"843",7250907,1,91
"844",7250910,1,91
"845",7250911,1,47
"846",7250918,1,82
"847",7250920,1,53
"848",7250921,1,37
"849",7250922,1,91
"850",7250923,1,77
"851",7250925,1,59
"852",7250926,1,81
"853",7250927,1,66
"854",7250939,1,58
"855",7250942,1,81
"856",7250948,1,81
"857",7250951,1,79
"858",7250953,1,91
"859",7250956,1,91
"860",7250957,1,91
"861",7250960,1,91
"862",7250961,1,91
"863",7250962,1,71
"864",7250969,1,86
"865",7250974,1,67
"866",7250975,1,55
"867",7250976,1,91
"868",7250978,1,38
"869",7250979,1,86
"870",7250982,1,83
"871",7250984,1,61
"872",7250986,1,59
"873",7250990,1,48
"874",7250991,1,72
"875",7251000,1,87
"876",7251001,1,82
"877",7251010,1,82
"878",7251016,1,81
"879",7251017,1,82
"880",7251018,1,91
"881",7251020,1,91
"882",7251025,1,87
"883",7251030,1,25
"884",7251047,1,32
"885",7251049,1,32
"886",7251062,1,81
"887",7251086,1,59
"888",7251089,1,58
"889",7251109,1,91
"890",7251119,1,55
"891",7251128,1,66
"892",7251133,1,69
"893",7251146,1,67
"894",7251150,1,86
"895",7251153,1,86
"896",7251156,1,57
"897",7251162,1,81
"898",7251163,1,91
"899",7251170,1,91
"900",7251178,1,49
"901",7251180,1,54
"902",7251182,1,81
"903",7251183,1,55
"904",7251185,1,59
"905",7251193,1,82
"906",7251199,1,66
"907",7251201,1,71
"908",7251202,1,86
"909",7251203,1,66
"910",7251211,1,91
"911",7251212,1,57
"912",7251215,1,81
"913",7251218,1,77
"914",7251219,1,91
"915",7251220,1,59
"916",7251221,1,50
"917",7251224,1,55
"918",7251225,1,79
"919",7251226,1,76
"920",7251230,1,43
"921",7251231,1,76
"922",7251235,1,91
"923",7251236,1,76
"924",7251237,1,86
"925",7251239,1,91
"926",7251240,1,66
"927",7251241,1,91
"928",7251243,1,91
"929",7251244,1,81
"930",7251245,1,91
"931",7251246,1,81
"932",7251249,1,91
"933",7251255,1,87
"934",7251258,1,91
"935",7251263,1,55
"936",7251264,1,86
"937",7251269,1,77
"938",7251272,1,66
"939",7251277,1,74
"940",7251284,1,77
"941",7251287,1,72
"942",7251290,1,56
"943",7251294,1,41
"944",7251295,1,55
"945",7251299,1,40
"946",7251300,1,70
"947",7251306,1,79
"948",7251307,1,45
"949",7251308,1,71
"950",7251311,1,38
"951",7251314,1,38
"952",7251316,1,38
"953",7251318,1,54
"954",7251321,1,49
"955",7251323,1,38
"956",7251326,1,66
"957",7251330,1,50
"958",7251331,1,86
"959",7251335,1,58
"960",7251338,1,38
"961",7251346,1,48
"962",7251352,1,61
"963",7251357,1,86
"964",7251366,1,50
"965",7251378,1,86
"966",7251383,1,61
"967",7251392,1,86
"968",7251422,1,86
"969",7251424,1,59
"970",7251424,1,62
"971",7251425,1,67
"972",7251427,1,35
"973",7251428,1,82
"974",7251429,1,91
"975",7251432,1,42
"976",7251440,1,55
"977",7251441,1,58
"978",7251454,1,70
"979",7251455,1,54
"980",7251462,1,66
"981",7251463,1,81
"982",7251464,1,82
"983",7251465,1,67
"984",7251469,1,47
"985",7251477,1,86
"986",7251478,1,26
"987",7251482,1,81
