"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"288",7248090,1,23
"289",7248090,2,3
"290",7248094,2,16
"291",7248094,3,36
"292",7248094,4,36
"293",7248097,1,3
"294",7248101,1,31
"295",7248101,2,31
"296",7248108,2,3
"297",7248111,1,3
"298",7248111,2,23
"299",7248112,3,31
"300",7248115,1,21
"301",7248115,2,1
"302",7248117,1,44
"303",7248117,2,36
"304",7248117,3,16
"305",7248121,1,16
"306",7248125,1,3
"307",7248125,2,3
"308",7248126,1,3
"309",7248127,2,52
"310",7248138,1,23
"311",7248142,2,36
"312",7248144,1,31
"313",7248144,2,51
"314",7248147,2,75
"315",7248171,1,3
"316",7248172,4,16
"317",7248173,5,3
"318",7248174,1,23
"319",7248174,2,23
"320",7248176,1,61
"321",7248177,1,54
"322",7248177,2,16
"323",7248179,4,3
"324",7248183,1,3
"325",7248185,1,3
"326",7248185,2,23
"327",7248187,3,76
"328",7248191,1,16
"329",7248195,1,16
"330",7248198,1,23
"331",7248198,2,31
"332",7248206,1,51
"333",7248206,2,51
"334",7248225,1,36
"335",7248229,1,23
"336",7248229,2,23
"337",7248232,1,21
"338",7248232,2,29
"339",7248234,2,31
"340",7248242,5,16
"341",7248243,1,23
"342",7248243,2,31
"343",7248247,5,23
"344",7248250,1,23
"345",7248250,2,16
"346",7248253,1,44
"347",7248253,2,3
"348",7248264,1,3
"349",7248266,1,29
"350",7248266,2,29
"351",7248269,1,23
"352",7248270,1,75
"353",7248272,1,36
"354",7248280,5,23
"355",7248287,1,44
"356",7248288,2,23
"357",7248291,1,23
"358",7248304,1,21
"359",7248304,2,21
"360",7248310,1,31
"361",7248314,1,64
"362",7248315,1,53
"363",7248322,2,23
"364",7248334,1,21
"365",7248334,2,21
"366",7248339,1,3
"367",7248340,9,3
"368",7248342,7,3
"369",7248343,1,21
"370",7248343,2,16
"371",7248344,1,31
"372",7248345,1,31
"373",7248345,2,23
"374",7248347,1,51
"375",7248348,1,44
"376",7248356,1,23
"377",7248364,1,3
"378",7248366,1,23
"379",7248367,1,3
"380",7248374,1,23
"381",7248378,1,23
"382",7248381,1,21
"383",7248383,1,23
"384",7248385,1,1
"385",7248385,2,23
"386",7248385,5,3
"387",7248388,1,16
"388",7248388,2,16
"389",7248391,1,23
"390",7248395,1,23
"391",7248398,1,31
"392",7248398,2,23
"393",7248403,5,23
"394",7248408,1,64
"395",7248412,4,23
"396",7248413,4,54
"397",7248419,1,23
"398",7248423,1,3
"399",7248427,1,44
"400",7248430,1,23
"401",7248430,2,36
"402",7248431,1,46
"403",7248433,4,55
"404",7248437,1,36
"405",7248438,4,36
"406",7248443,1,3
"407",7248445,1,36
