"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"244",7247735,3,68.17
"245",7247736,3,69.69
"246",7247739,3,68.17
"247",7247740,6,69.69
"248",7247741,4,66.66
"249",7247741,5,66.66
"250",7247742,4,72.72
"251",7247742,5,72.72
"252",7247745,3,59.08
"253",7247745,4,59.08
"254",7247746,3,81.81
"255",7247747,3,78.78
"256",7247747,4,78.78
"257",7247748,5,72.72
"258",7247751,3,75.75
"259",7247751,4,75.75
"260",7247753,4,81.81
"261",7247754,3,90.9
"262",7247754,4,90.9
"263",7247754,5,90.9
"264",7247755,4,99.99
"265",7247756,4,81.81
"266",7247757,4,78.78
"267",7247758,2,90.9
"268",7247759,3,63.63
"269",7247770,5,66.66
"270",7247773,3,60.6
"271",7247773,4,60.6
"272",7247773,5,60.6
"273",7247775,5,90.9
"274",7247775,6,90.9
"275",7247778,4,75.75
"276",7247782,5,90.9
"277",7247784,5,84.84
"278",7247792,3,66.66
"279",7247792,4,66.66
"280",7247793,4,63.63
"281",7247793,5,63.63
"282",7247794,3,84.84
"283",7247794,4,84.84
"284",7247795,4,87.87
"285",7247800,6,90.9
"286",7247802,5,51.51
"287",7247804,3,72.72
"288",7247804,4,72.72
"289",7247804,5,72.72
"290",7247807,3,90.9
"291",7247815,3,72.72
"292",7247815,4,72.72
"293",7247816,4,75.75
"294",7247816,4,75.75
"295",7247817,4,66.66
"296",7247817,6,66.66
"297",7247818,4,63.63
"298",7247821,3,78.78
"299",7247823,3,72.72
"300",7247825,3,66.66
"301",7247825,4,66.66
"302",7247827,2,51.51
"303",7247828,4,72.72
"304",7247829,4,78.78
"305",7247829,5,78.78
"306",7247829,8,78.78
"307",7247829,9,78.78
"308",7247829,10,78.78
"309",7247831,4,63.63
"310",7247832,3,63.63
"311",7247832,4,63.63
"312",7247833,3,69.69
"313",7247838,4,69.69
"314",7247842,3,86.35
"315",7247843,3,72.72
"316",7247844,3,72.72
"317",7247844,4,72.72
"318",7247846,3,63.63
"319",7247852,3,66.66
"320",7247856,4,69.69
"321",7247858,4,66.66
"322",7247859,6,66.66
"323",7247862,3,72.72
"324",7247862,4,72.72
"325",7247864,6,72.72
"326",7247866,3,72.72
"327",7247866,4,72.72
"328",7247866,7,72.72
"329",7247870,3,66.66
"330",7247872,2,57.57
"331",7247873,4,78.78
"332",7247874,2,69.69
"333",7247874,3,69.69
"334",7247877,3,78.78
"335",7247877,4,78.78
"336",7247883,3,75.75
"337",7247883,5,75.75
"338",7247886,3,78.78
"339",7247887,5,60.6
"340",7247890,3,63.63
"341",7247893,6,81.81
"342",7247893,7,81.81
"343",7247893,8,81.81
"344",7247898,5,66.66
"345",7247900,5,51.51
"346",7247901,5,66.66
"347",7247901,6,66.66
"348",7247904,3,42.42
"349",7247904,4,42.42
"350",7247905,4,48.48
"351",7247907,3,75.75
"352",7247908,3,72.72
"353",7247917,4,45.45
"354",7247918,3,45.45
"355",7247919,6,45.45
"356",7247920,3,51.51
"357",7247920,4,51.51
"358",7247921,4,54.54
"359",7247921,5,54.54
"360",7247925,5,54.54
"361",7247931,3,54.54
"362",7247931,4,54.54
"363",7247933,3,54.54
"364",7247936,4,48.48
"365",7247936,5,48.48
"366",7247936,6,48.48
"367",7247937,6,54.54
"368",7247938,3,54.54
"369",7247942,3,54.54
"370",7247942,4,54.54
"371",7247942,5,54.54
"372",7247943,2,48.48
"373",7247945,2,69.69
"374",7247947,4,54.54
"375",7247949,3,48.48
"376",7247951,3,48.48
"377",7247951,4,48.48
"378",7247953,3,48.48
"379",7247953,4,48.48
"380",7247955,5,39.39
"381",7247955,6,39.39
"382",7247959,3,81.81
"383",7247960,3,75.75
"384",7247961,2,72.72
"385",7247967,3,51.51
"386",7247967,4,51.51
"387",7247970,3,69.69
"388",7247970,4,69.69
"389",7247971,3,66.66
"390",7247974,2,63.63
"391",7247975,3,57.57
"392",7247978,3,72.72
"393",7247978,4,72.72
"394",7247979,3,63.63
"395",7247981,4,72.72
"396",7247981,5,72.72
"397",7247983,3,57.57
"398",7247986,4,78.78
"399",7247992,4,69.69
"400",7247995,3,72.72
"401",7247995,4,72.72
"402",7247997,2,60.6
"403",7247997,3,60.6
"404",7247998,2,72.72
"405",7248001,4,72.72
