"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
65,7250778,1
73,7250779,1
65,7250791,1
68,7250803,1
70,7250804,1
68,7250804,2
61,7250805,1
63,7250810,1
65,7250819,3
76,7250825,4
75,7250826,1
69,7250829,1
86,7250829,2
69,7250830,1
67,7250832,1
73,7250840,1
60,7250850,1
66,7250850,2
61,7250851,1
94,7250853,2
79,7250855,5
84,7250857,1
62,7250858,1
69,7250859,1
82,7250862,1
69,7250862,2
83,7250863,1
87,7250863,2
74,7250868,1
70,7250868,2
76,7250870,1
74,7250870,2
60,7250871,1
61,7250871,2
65,7250872,1
78,7250873,1
92,7250876,4
73,7250877,1
65,7250877,2
66,7250879,1
88,7250879,3
68,7250880,1
71,7250881,1
64,7250882,1
61,7250883,1
66,7250883,2
71,7250884,5
61,7250885,1
88,7250888,1
76,7250888,2
62,7250889,1
72,7250890,1
65,7250892,1
63,7250895,1
76,7250896,1
72,7250896,2
74,7250897,1
73,7250897,2
66,7250898,1
62,7250898,2
61,7250901,1
69,7250902,1
71,7250903,1
80,7250904,2
63,7250907,1
64,7250910,1
64,7250910,2
70,7250911,1
82,7250913,2
70,7250918,1
72,7250920,1
68,7250921,1
77,7250922,1
72,7250923,1
69,7250925,1
68,7250925,2
78,7250925,7
70,7250926,1
69,7250927,1
66,7250939,1
66,7250942,1
76,7250942,2
66,7250948,1
90,7250951,1
81,7250953,1
67,7250953,2
64,7250956,1
70,7250957,1
68,7250960,1
74,7250961,1
68,7250962,1
85,7250967,3
77,7250969,1
64,7250974,1
79,7250975,1
78,7250976,1
72,7250976,2
60,7250977,5
67,7250978,1
71,7250979,1
73,7250982,1
60,7250984,1
87,7250986,1
68,7250986,2
86,7250990,1
70,7250991,1
64,7250991,2
87,7250992,3
81,7250992,5
63,7251000,1
62,7251001,1
81,7251009,7
83,7251010,1
90,7251016,1
80,7251016,2
76,7251017,1
74,7251017,2
90,7251017,4
84,7251017,5
66,7251018,1
62,7251020,1
70,7251025,1
63,7251025,2
83,7251030,1
77,7251047,1
74,7251047,2
68,7251049,1
64,7251051,3
78,7251051,4
72,7251062,1
71,7251062,2
75,7251086,1
71,7251086,2
74,7251089,1
61,7251109,1
90,7251115,6
62,7251115,7
75,7251119,1
60,7251122,2
63,7251123,7
85,7251126,2
61,7251128,1
62,7251133,1
61,7251146,1
69,7251150,1
67,7251150,2
61,7251153,1
61,7251156,1
61,7251156,2
82,7251162,1
70,7251163,1
88,7251163,2
64,7251170,1
61,7251178,1
70,7251180,1
60,7251182,1
62,7251183,1
74,7251185,1
71,7251185,2
66,7251193,1
70,7251199,1
61,7251201,1
62,7251202,1
65,7251203,1
61,7251203,2
62,7251211,1
84,7251212,1
64,7251215,1
72,7251216,2
65,7251218,1
78,7251219,1
88,7251219,2
64,7251220,1
62,7251221,1
70,7251224,1
68,7251224,2
83,7251225,1
62,7251225,2
68,7251226,1
66,7251229,3
62,7251230,1
60,7251231,1
65,7251235,1
69,7251236,1
62,7251237,1
72,7251239,1
69,7251239,2
60,7251240,1
70,7251241,1
60,7251241,2
73,7251243,1
74,7251244,1
95,7251244,2
76,7251245,1
68,7251246,1
62,7251249,1
74,7251255,1
63,7251255,2
75,7251258,1
66,7251263,1
67,7251263,2
64,7251264,1
70,7251269,1
60,7251269,2
66,7251272,1
66,7251272,2
81,7251277,1
81,7251277,2
65,7251279,2
62,7251280,2
66,7251284,1
62,7251287,1
71,7251290,1
71,7251294,1
65,7251295,1
60,7251295,2
60,7251299,1
79,7251300,1
86,7251306,1
61,7251307,1
61,7251307,2
78,7251308,1
75,7251311,1
64,7251311,2
60,7251314,1
69,7251316,1
63,7251316,2
65,7251318,1
64,7251318,2
93,7251319,2
65,7251321,1
75,7251323,1
65,7251323,2
81,7251326,1
66,7251329,3
67,7251329,4
75,7251330,1
68,7251331,1
84,7251331,2
66,7251335,1
64,7251335,2
68,7251338,1
77,7251338,2
67,7251346,1
64,7251352,1
66,7251357,1
61,7251366,1
71,7251378,1
73,7251378,2
78,7251383,1
64,7251392,1
60,7251392,2
83,7251397,2
64,7251422,1
61,7251424,1
60,7251424,1
79,7251425,1
64,7251427,1
63,7251427,2
61,7251428,1
74,7251429,1
70,7251432,1
87,7251433,4
75,7251435,2
72,7251439,4
71,7251440,1
62,7251441,1
69,7251441,2
80,7251451,8
64,7251454,1
69,7251455,1
75,7251456,2
69,7251462,1
67,7251462,2
65,7251463,1
76,7251464,1
71,7251465,1
71,7251468,7
94,7251468,8
64,7251469,1
69,7251471,3
82,7251477,1
77,7251477,2
83,7251478,1
62,7251478,2
60,7251482,1
70,7251482,4
62,7251485,1
85,7251492,3
73,7251494,1
90,7251494,2
66,7251495,1
84,7251496,1
72,7251497,1
68,7251498,2
60,7251499,1
77,7251502,1
64,7251503,2
65,7251504,1
86,7251506,1
90,7251507,1
66,7251507,2
68,7251508,1
60,7251508,2
86,7251508,4
75,7251513,1
71,7251513,2
70,7251515,1
65,7251516,1
73,7251519,4
63,7251521,1
60,7251525,1
69,7251526,1
65,7251526,2
72,7251527,1
71,7251529,1
62,7251533,1
62,7251535,1
67,7251535,2
66,7251536,1
94,7251536,4
69,7251540,2
63,7251540,3
62,7251542,1
70,7251545,1
66,7251556,1
80,7251558,1
79,7251559,1
66,7251563,1
71,7251571,1
85,7251573,1
63,7251573,2
66,7251577,1
72,7251578,1
76,7251579,1
70,7251580,1
75,7251581,1
73,7251581,2
65,7251582,1
69,7251583,5
63,7251585,1
72,7251586,1
65,7251591,1
70,7251592,1
84,7251592,2
70,7251603,1
82,7251612,5
72,7251614,1
65,7251614,2
60,7251617,1
80,7251620,5
73,7251621,1
61,7251622,1
60,7251623,1
68,7251627,1
63,7251627,2
72,7251630,1
72,7251630,2
75,7251632,1
70,7251632,2
61,7251636,1
73,7251637,1
64,7251637,2
64,7251639,5
65,7251642,1
62,7251642,2
82,7251644,1
83,7251646,1
90,7251647,1
65,7251647,2
68,7251647,3
62,7251648,1
64,7251650,1
63,7251657,2
71,7251664,1
73,7251669,4
72,7251670,2
67,7251672,4
64,7251675,1
78,7251678,1
65,7251678,2
62,7251686,1
92,7251686,4
79,7251687,1
74,7251687,2
89,7251690,1
83,7251691,2
63,7251692,1
75,7251693,1
63,7251696,1
61,7251699,1
60,7251699,2
64,7251700,1
69,7251701,1
70,7251701,2
72,7251702,1
75,7251719,1
67,7251719,2
61,7251720,1
61,7251723,1
60,7251723,2
66,7251724,1
72,7251725,1
65,7251726,1
82,7251730,2
67,7251733,1
65,7251737,1
64,7251738,1
65,7251739,1
60,7251754,1
63,7251759,1
66,7251759,2
83,7251760,1
60,7251766,1
67,7251767,1
60,7251767,2
61,7251770,1
79,7251770,5
90,7251774,2
68,7251777,4
66,7251778,1
67,7251778,2
72,7251779,1
62,7251779,2
60,7251781,1
61,7251783,1
78,7251783,2
75,7251783,3
60,7251783,4
64,7251784,1
72,7251787,1
78,7251790,1
64,7251795,1
77,7251810,1
61,7251824,2
62,7251828,1
69,7251833,1
80,7251839,2
64,7251845,1
70,7251846,1
68,7251846,2
61,7251847,1
78,7251848,1
68,7251849,1
85,7251850,1
60,7251853,1
62,7251854,2
66,7251855,1
60,7251859,1
66,7251861,1
66,7251861,2
62,7251862,1
74,7251878,1
60,7251880,2
68,7251888,1
69,7251890,1
83,7251895,1
81,7251895,2
64,7251901,2
75,7251902,1
73,7251902,2
90,7251904,1
66,7251906,1
75,7251909,1
86,7251909,2
66,7251910,1
78,7251913,1
