"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
2,7247983,3
12,7247986,4
12,7247992,4
7,7247995,3
1,7247995,4
12,7247997,2
11,7247997,3
9,7247998,2
5,7248001,4
1,7248001,5
2,7248006,3
5,7248008,3
11,7248010,3
8,7248010,4
5,7248010,5
2,7248011,5
5,7248011,7
8,7248012,3
0,7248012,4
9,7248013,2
2,7248014,3
5,7248018,3
2,7248018,4
9,7248021,2
3,7248021,3
8,7248026,4
6,7248027,3
4,7248030,2
1,7248030,3
8,7248032,3
10,7248038,5
2,7248043,3
5,7248044,3
8,7248046,4
12,7248049,2
8,7248050,4
6,7248055,4
12,7248064,6
7,7248064,7
11,7248065,3
7,7248065,4
4,7248067,3
3,7248069,5
10,7248071,4
1,7248071,5
0,7248071,6
11,7248072,3
8,7248072,4
12,7248075,4
6,7248077,4
9,7248086,5
10,7248087,3
7,7248087,4
11,7248088,6
2,7248090,6
10,7248090,8
5,7248095,2
3,7248095,3
9,7248096,3
4,7248096,4
9,7248105,3
8,7248107,3
6,7248107,4
11,7248120,3
8,7248120,4
2,7248122,3
11,7248124,2
7,7248124,2
3,7248124,3
9,7248127,5
6,7248127,6
7,7248128,3
3,7248141,2
10,7248146,3
12,7248148,3
12,7248151,4
7,7248153,3
5,7248153,4
2,7248158,5
12,7248159,4
6,7248159,5
10,7248172,3
9,7248175,4
0,7248178,3
8,7248179,3
6,7248180,3
11,7248196,2
8,7248196,3
7,7248197,4
10,7248199,3
5,7248206,5
5,7248209,5
2,7248215,3
11,7248219,4
4,7248219,5
0,7248233,3
7,7248235,2
1,7248235,3
2,7248239,4
12,7248240,3
6,7248240,4
10,7248242,3
7,7248242,4
9,7248243,5
11,7248245,4
3,7248245,5
10,7248247,3
7,7248247,4
10,7248257,3
0,7248257,4
6,7248258,3
11,7248267,3
4,7248271,3
2,7248271,4
9,7248275,3
4,7248275,4
11,7248278,3
1,7248278,4
6,7248280,4
12,7248281,3
10,7248290,6
11,7248294,4
9,7248294,5
11,7248305,3
2,7248306,3
4,7248311,3
12,7248316,4
3,7248316,5
7,7248316,7
11,7248318,4
7,7248320,4
2,7248323,5
6,7248323,6
6,7248328,3
9,7248330,4
8,7248330,5
11,7248335,3
9,7248336,2
4,7248336,3
0,7248337,3
2,7248339,2
7,7248340,4
4,7248340,6
3,7248340,7
12,7248340,8
11,7248341,4
5,7248342,3
3,7248342,6
7,7248355,3
8,7248359,4
11,7248372,3
7,7248372,4
8,7248375,5
11,7248376,3
12,7248377,5
5,7248387,3
4,7248389,4
10,7248389,5
2,7248390,3
11,7248391,7
7,7248391,8
8,7248392,4
1,7248393,7
0,7248396,3
2,7248397,4
10,7248400,3
3,7248400,4
8,7248401,3
4,7248403,3
2,7248403,4
12,7248407,5
10,7248407,6
2,7248410,3
8,7248413,3
10,7248417,3
4,7248417,4
7,7248421,4
9,7248422,3
3,7248422,4
9,7248425,2
6,7248425,3
12,7248432,3
6,7248432,4
3,7248432,5
11,7248435,2
9,7248435,3
4,7248439,3
1,7248439,4
10,7248446,5
3,7248449,3
9,7248453,4
6,7248458,3
0,7248458,4
5,7248459,5
2,7248460,4
10,7248462,5
9,7248462,6
11,7248472,4
10,7248477,3
5,7248477,4
0,7248477,5
9,7248479,3
6,7248479,4
9,7248480,5
6,7248481,3
3,7248481,4
2,7248482,2
11,7248490,2
6,7248495,3
3,7248495,4
10,7248500,4
11,7248502,3
11,7248507,3
8,7248507,4
8,7248511,3
5,7248511,4
10,7248512,4
10,7248517,2
4,7248517,3
8,7248518,4
0,7248518,5
7,7248523,2
10,7248542,6
3,7248542,8
5,7248543,6
8,7248549,4
12,7248555,2
1,7248555,3
7,7248562,3
3,7248562,4
12,7248571,3
5,7248571,4
4,7248573,3
2,7248573,4
12,7248576,3
5,7248584,4
5,7248589,2
10,7248595,3
2,7248595,4
12,7248599,4
11,7248605,3
2,7248608,3
7,7248611,3
3,7248617,4
7,7248626,3
11,7248627,3
9,7248627,4
1,7248630,3
4,7248631,2
2,7248632,4
2,7248632,6
8,7248636,3
7,7248636,4
4,7248636,5
11,7248638,3
9,7248639,3
6,7248639,4
0,7248640,5
3,7248644,3
8,7248646,4
10,7248653,3
2,7248653,4
12,7248659,4
7,7248659,5
5,7248662,3
5,7248668,5
9,7248672,5
7,7248672,6
10,7248677,4
8,7248678,3
10,7248690,3
3,7248691,4
3,7248694,3
8,7248698,2
11,7248700,3
10,7248703,2
10,7248709,3
5,7248709,4
3,7248714,5
3,7248717,2
11,7248721,3
10,7248721,4
8,7248721,5
5,7248721,6
2,7248721,7
1,7248722,4
10,7248728,2
12,7248734,5
8,7248745,3
12,7248746,6
9,7248751,2
8,7248751,3
3,7248752,4
1,7248752,6
6,7248753,4
0,7248753,5
9,7248754,3
9,7248754,4
10,7248755,3
11,7248756,5
11,7248757,4
7,7248758,3
4,7248762,5
6,7248763,5
8,7248765,6
9,7248773,4
9,7248775,5
8,7248784,5
5,7248787,3
8,7248791,5
8,7248792,4
12,7248795,4
2,7248795,6
2,7248795,7
12,7248806,2
12,7248808,4
5,7248811,4
7,7248816,4
12,7248819,3
8,7248820,5
12,7248822,2
8,7248824,3
2,7248828,3
8,7248829,3
9,7248831,3
10,7248835,3
0,7248835,4
7,7248837,2
5,7248838,2
3,7248838,3
1,7248838,4
8,7248839,3
4,7248839,4
0,7248839,5
5,7248840,3
2,7248840,4
12,7248844,3
10,7248864,3
10,7248869,3
11,7248872,5
7,7248876,3
9,7248877,3
7,7248877,4
3,7248881,2
11,7248883,5
9,7248883,6
11,7248887,2
3,7248888,2
0,7248888,5
8,7248898,4
3,7248900,4
5,7248900,7
3,7248901,4
