DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A2;P784S4A3;P784S4A4
7251086;1;1;1;83,8148641657388;AYUDA FUNDACION POR UN PAIS MEJOR;1;120000
7251175;1;1;1;18,1083926934609;CAJASAI;2;816000
7251514;1;1;1;46,8777949218429;MERCADOS;2;300000
7251522;1;1;1;55,7049868019577;MERCADO;1;250000
7251782;1;1;1;76,249150839473;BONO SOLIDARIO;1;140000
7251967;1;1;1;13,9062629546985;MERCADO;1;50000
7252072;1;1;1;347,381663648805;SUBSIDIO DE NOMINA;1;300000
7252086;1;1;1;235,361218435111;MERCADO;1;50000
7252089;1;1;1;148,998970448791;DE CERO A CINCO;1;480000
7252180;1;1;1;143,803891943759;DEVOLUCION DEL IVA;1;225000
7252192;1;1;1;163,478596007299;MERCADO;1;50000
7252202;1;1;1;122,414144382251;MERCADO DE LA ALCALDIA MUNICIPAL;1;500000
7252204;1;1;1;122,886670760453;MERCADO DE LA ALCALDIA MUNICIPAL;1;50000
7252283;1;1;1;388,380329001619;JOVENES EN ACCION;1;1200000
7252295;1;1;1;116,114513138805;AYUDA HUMANITARIA;1;350000
7252359;1;1;1;202,71956061012;MERCADO DEL PAE;3;600000
7252447;1;1;1;16,7336614947923;JOVENES EN ACCION;1;360000
7252451;1;1;1;14,4768762521427;SUBSIDIO DE DESEMPLEO CPMCAJA;1;1860000
7252581;1;1;1;5,60125102746828;PROMOCION Y PREVENCION PYP BIENESTAR FAMILIAR;1;360000
7252584;1;1;1;5,60125102746828;PENIS;1;8000000
7252682;1;1;1;123,941278222043;AYUDA DE LA ALCALDIA;1;150000
7252771;1;1;1;438,233382307037;AUXILIO SOLIDARIO;1;150000
7252787;1;1;1;341,571124795419;JOVENES EN ACCION;1;800000
7252799;1;1;1;516,189124236543;JOVENES EN ACCION;1;1200000
7252856;1;1;1;43,5652551837063;PASTORAL SOCIAL;1;400000
7252877;1;1;1;68,228159037569;DEVOLUCION DEL IVA;1;300000
7252878;1;1;1;81,8173004482216;DEVOLUCION DEL IVA;1;300000
7252890;1;1;1;58,1951417852195;CRUZ ATOJA;1;25000
7252943;1;1;1;27,9246034902835;ALCALDIA DE MOLINO;1;80000
7252955;1;1;1;28,4438093178985;ALCALDIA DEL MOLINO;2;60000
7252955;2;1;2;28,4438093178985;INSTITUCIO EDUCATIVA ELIODORO ALFREDO MONTERO DUARTE;1;50000
7252960;1;1;1;36,7044222877608;ALCALDIA DEL MOLINO;1;35000
7252960;2;1;2;36,7044222877608;ALCALDIA DEL MOLINO;1;35000
7252963;1;1;1;29,0682639190252;ALCALDIA DEL MOLINO;1;80000
7252963;2;1;2;29,0682639190252;ALCALDIA DEL MOLINO;1;20000
7253034;1;1;1;171,275560960584;DEVOLUCION DEL IVA;1;75000
7253035;1;1;1;189,8196919892;DEVOLUCION DEL IVA;1;150000
7253042;1;1;1;247,323485557387;MERCADOS SOLIDARIOS;1;200000
7253046;1;1;1;239,447715386043;MERCADOS SOLIDARIOS;2;120000
7253048;1;1;1;235,197943486974;MERCADOS SOLIDARIOS;1;200000
7253053;1;1;1;217,50574311768;MERCADOS SOLIDARIOS;1;200000
7253068;1;1;1;340,390788924723;DEVOLUCION DE IVA;1;235000
7253069;1;1;1;359,547800256352;DEVOLUCION DEL IVA;1;225000
7253135;1;1;1;199,017831571558;IVA;1;21000
7253194;1;1;1;84,649072014716;PLAN COLOMBIA;1;1095000
7253195;1;1;1;125,984351387711;DEVOLUCION DEL IVA;1;75000
7253202;1;1;1;157,086891513916;ICBF;1;240000
7253234;1;1;1;72,2405244712532;CUOTA MONETARIA CAJA COMPENSACION FAMILIAR;1;120000
7253245;1;1;1;61,0682904333387;AYUDA HUMANITARIA;1;400000
7253279;1;1;1;66,9235570556519;AYUDA HUMANITARIA;1;850000
7253303;1;1;1;53,8687908378555;JOVEN ACCION;1;3200000
7253336;1;1;1;64,9133158796811;MERCADO;1;50000
7253340;1;1;1;48,6291734314851;MERCADOS;1;110000
7253424;1;1;1;327,880610101515;PAE;3;320000
7253433;1;1;1;349,36706358654;JOVENES EN ACCION;1;1600000
7253435;1;1;1;280,316513352047;AYUDA ALIMENTICIA DE PARTE DE LA ALCALDIA MUNICIPAL;1;50000
7253438;1;1;1;325,005517513298;DEVOLUCION DEL IVA;1;300000
7253464;1;1;1;49,5723610417432;DEVOLUCION DEL IVA;2;230000
7253465;1;1;1;34,2538753869239;ALCALDIA DE CUCUTA;1;50000
7253480;1;1;1;55,5773900088423;DEVOLUCION DEL IVA;1;300000
7253481;1;1;1;22,8359169246159;ALCALDIA MUNICIPAL;1;50000
7253487;1;1;1;107,504032132539;ALCALDIA MUNICIPAL;1;200000
7253492;1;1;1;35,1421656173721;DEVOLUCION DEL IVA;1;150000
7253614;1;1;1;114,465948099803;MERCADO;2;30000
7253617;1;1;1;106,919887795359;PAE;3;850000
7253723;1;1;1;1529,61474208294;COLOMBIA AVANZA;1;650000
7253750;1;1;1;1390,14694006377;MEDELLIN ME CUIDA;1;200000
7253793;1;1;1;81,5884579544242;DEVOLUCION DEL IVA;1;225000
7253917;1;1;1;154,945472036346;JOVENES EN ACCION;2;6000000
7254069;1;1;1;153,639251908342;DESPLAZADO;1;14050
7254076;1;1;1;223,835337202647;JOVENES EN ACCION;1;1600000
7254089;1;1;1;173,380950791581;DEVOLUCION DEL IVA;1;220000
7254125;1;1;1;174,678015553473;JOVENES EN ACCION;2;2124000
7254210;1;1;1;160,861024146513;DEVOLUCION DEL IVA;1;75000
7254213;1;1;1;98,4917150561561;DEVOLUCION DE IVA;1;150000
7254215;1;1;1;136,427052627619;DEVOLUCION DE IVA;1;150000
7254239;1;1;1;154,767834624506;DEVOLUCION DE IVA;1;150000
7254247;1;1;1;161,925410256917;INDEMNIZACION POR MUERTE DE UN FAMILIAR;1;1100000
7254355;1;1;1;8,65369907081496;JOVENES EN ACCION;1;100000
7254565;1;1;1;13,1863164524237;AYUDA EN DINERO  POR LA EMERGENCIA SANITARIA DEL COVID 19 POR PARTE DE LA GOBERNACION A LOS ESTILISTAS;1;150000
7254597;1;1;1;8,96501158606581;AYUDA MONETARIAS EN ESPECIE POR LA PANDEMIA DEL COVID 19 POR PARTE DE LA GOBERNACION;1;150000
