"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
71,7247300,1,"7247300-1",1,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA
67,7247300,2,"7247300-2",2,NA,NA,NA,NA,2,2,2,NA,2,NA,2,NA,NA,NA
64,7247300,3,"7247300-3",3,NA,NA,NA,NA,3,3,3,NA,3,NA,3,NA,NA,NA
84,7247301,1,"7247301-1",4,NA,NA,2,2,4,4,26,2,4,2,4,NA,2,NA
76,7247301,2,"7247301-2",5,NA,NA,NA,NA,5,5,12,NA,5,NA,5,NA,NA,NA
75,7247302,6,"7247302-6",11,NA,NA,NA,NA,11,10,32,NA,11,NA,11,NA,NA,NA
74,7247310,1,"7247310-1",25,NA,NA,8,8,23,19,97,8,25,8,23,NA,8,NA
73,7247310,2,"7247310-2",26,NA,NA,NA,NA,24,20,98,NA,26,NA,24,NA,NA,NA
81,7247311,1,"7247311-1",29,NA,NA,9,9,27,23,110,9,29,9,27,NA,9,NA
64,7247312,1,"7247312-1",35,NA,NA,11,10,33,29,134,11,35,11,33,NA,11,NA
83,7247312,5,"7247312-5",39,NA,NA,NA,NA,36,32,NA,NA,39,NA,36,NA,NA,NA
80,7247312,6,"7247312-6",40,NA,NA,NA,NA,37,33,NA,NA,40,NA,37,NA,NA,NA
79,7247312,7,"7247312-7",41,NA,NA,NA,NA,38,34,NA,NA,41,NA,38,NA,NA,NA
94,7247323,1,"7247323-1",59,NA,NA,17,16,56,51,206,17,59,17,56,NA,17,NA
65,7247323,2,"7247323-2",60,NA,NA,NA,NA,57,52,207,NA,60,NA,57,NA,NA,NA
68,7247324,1,"7247324-1",63,NA,NA,18,17,60,55,221,18,63,18,60,NA,18,NA
63,7247328,1,"7247328-1",67,1,NA,19,18,64,59,232,19,67,19,64,NA,19,NA
61,7247328,2,"7247328-2",68,NA,NA,NA,NA,65,60,233,NA,68,NA,65,NA,NA,NA
67,7247329,1,"7247329-1",71,NA,NA,20,19,68,63,247,20,71,20,68,NA,20,NA
68,7247335,1,"7247335-1",88,NA,NA,24,23,83,74,275,24,88,24,83,NA,24,NA
63,7247335,2,"7247335-2",89,NA,NA,NA,NA,84,75,276,NA,89,NA,84,NA,NA,NA
64,7247344,4,"7247344-4",110,NA,NA,NA,NA,105,93,320,NA,110,NA,105,NA,NA,NA
66,7247355,3,"7247355-3",137,NA,NA,NA,NA,127,113,410,NA,137,NA,127,NA,NA,NA
70,7247356,1,"7247356-1",139,NA,NA,38,37,129,115,419,38,139,38,129,NA,38,NA
66,7247369,1,"7247369-1",176,NA,NA,48,46,162,143,549,48,176,48,162,NA,48,NA
82,7247375,5,"7247375-5",199,NA,NA,NA,NA,180,159,602,NA,199,NA,180,NA,NA,NA
66,7247377,1,"7247377-1",202,NA,5,55,53,183,162,622,55,202,55,183,NA,55,NA
61,7247377,2,"7247377-2",203,NA,NA,NA,NA,184,163,623,NA,203,NA,184,NA,NA,NA
87,7247379,1,"7247379-1",209,NA,NA,57,55,188,167,645,57,209,57,188,NA,57,NA
66,7247382,1,"7247382-1",219,NA,NA,59,57,197,175,663,59,219,59,197,NA,59,NA
67,7247382,2,"7247382-2",220,NA,NA,NA,NA,198,176,664,NA,220,NA,198,NA,NA,NA
75,7247388,1,"7247388-1",232,NA,NA,63,61,209,184,705,63,232,63,209,NA,63,NA
60,7247388,2,"7247388-2",233,NA,NA,NA,NA,210,185,706,NA,233,NA,210,NA,NA,NA
67,7247391,1,"7247391-1",239,NA,NA,66,64,216,191,737,66,239,66,216,NA,66,NA
65,7247391,2,"7247391-2",240,NA,NA,NA,NA,217,192,732,NA,240,NA,217,NA,NA,NA
65,7247392,1,"7247392-1",242,NA,NA,67,65,219,194,738,67,242,67,219,5,67,NA
71,7247392,2,"7247392-2",243,NA,NA,NA,NA,220,195,739,NA,243,NA,220,6,NA,NA
60,7247394,1,"7247394-1",249,NA,NA,69,67,226,201,766,69,249,69,226,NA,69,NA
68,7247402,1,"7247402-1",262,NA,NA,74,72,237,210,802,74,262,74,237,NA,74,NA
66,7247423,1,"7247423-1",311,NA,NA,90,88,280,249,952,90,311,90,280,NA,90,NA
70,7247425,1,"7247425-1",320,NA,NA,92,90,287,255,957,92,320,92,287,NA,92,NA
63,7247425,2,"7247425-2",321,NA,NA,NA,NA,288,256,958,NA,321,NA,288,NA,NA,NA
65,7247439,1,"7247439-1",356,NA,NA,104,102,320,287,1023,104,356,104,320,NA,104,NA
60,7247444,1,"7247444-1",371,NA,NA,108,106,332,295,1060,108,371,108,332,NA,108,NA
74,7247444,3,"7247444-3",373,NA,NA,NA,NA,334,297,NA,NA,373,NA,334,NA,NA,NA
82,7247458,1,"7247458-1",400,NA,NA,118,116,357,318,1180,118,400,118,357,NA,118,NA
73,7247458,2,"7247458-2",401,NA,NA,NA,NA,358,319,1181,NA,401,NA,358,NA,NA,NA
84,7247467,1,"7247467-1",428,NA,NA,126,124,382,336,1267,126,428,126,382,NA,126,NA
79,7247467,2,"7247467-2",429,NA,NA,NA,NA,383,337,1268,NA,429,NA,383,NA,NA,NA
65,7247473,1,"7247473-1",459,NA,NA,132,130,410,362,1343,132,459,132,410,NA,132,NA
63,7247474,1,"7247474-1",463,NA,NA,133,131,414,366,1355,133,463,133,414,NA,133,NA
63,7247484,1,"7247484-1",475,NA,NA,140,138,426,377,1441,140,475,140,426,NA,140,NA
60,7247487,1,"7247487-1",479,NA,NA,142,140,430,380,1456,142,479,142,430,NA,142,NA
96,7247487,4,"7247487-4",482,NA,NA,NA,NA,433,382,1459,NA,482,NA,433,NA,NA,NA
83,7247489,1,"7247489-1",483,NA,NA,143,141,434,383,1470,143,483,143,434,NA,143,NA
76,7247489,2,"7247489-2",484,NA,NA,NA,NA,435,384,1471,NA,484,NA,435,NA,NA,NA
71,7247493,1,"7247493-1",494,NA,18,147,145,444,392,1511,147,494,147,444,NA,147,NA
72,7247493,2,"7247493-2",495,NA,NA,NA,NA,445,393,1512,NA,495,NA,445,NA,NA,NA
66,7247495,1,"7247495-1",502,NA,19,149,147,452,399,1535,149,502,149,452,7,149,NA
66,7247506,1,"7247506-1",548,NA,NA,159,157,495,431,1643,159,548,159,495,NA,159,NA
62,7247506,2,"7247506-2",549,NA,NA,NA,NA,496,432,1644,NA,549,NA,496,NA,NA,NA
64,7247509,1,"7247509-1",555,6,28,162,160,501,437,1677,162,555,162,501,NA,162,NA
84,7247510,3,"7247510-3",564,NA,NA,NA,NA,509,443,1692,NA,564,NA,509,NA,NA,NA
61,7247517,1,"7247517-1",583,NA,NA,169,167,526,458,1772,169,583,169,526,NA,169,NA
60,7247518,1,"7247518-1",586,8,NA,170,168,529,461,1773,170,586,170,529,NA,170,NA
60,7247520,1,"7247520-1",591,10,NA,172,170,534,466,1799,172,591,172,534,NA,172,NA
68,7247538,1,"7247538-1",635,NA,NA,186,184,572,502,1976,186,635,186,572,NA,186,NA
73,7247541,1,"7247541-1",641,NA,NA,188,186,578,507,1992,188,641,188,578,NA,188,NA
73,7247541,2,"7247541-2",642,NA,NA,NA,NA,579,508,1993,NA,642,NA,579,NA,NA,NA
63,7247546,1,"7247546-1",651,NA,NA,192,190,587,515,NA,192,651,192,587,NA,192,NA
71,7247546,2,"7247546-2",652,NA,NA,NA,NA,588,516,NA,NA,652,NA,588,NA,NA,NA
61,7247549,1,"7247549-1",657,NA,NA,194,192,593,520,2014,194,657,194,593,NA,194,NA
63,7247549,2,"7247549-2",658,NA,NA,NA,NA,594,521,2015,NA,658,NA,594,NA,NA,NA
75,7247550,1,"7247550-1",659,NA,NA,195,193,595,522,2016,195,659,195,595,NA,195,NA
63,7247551,2,"7247551-2",662,NA,NA,NA,NA,598,525,2024,NA,662,NA,598,NA,NA,NA
70,7247552,1,"7247552-1",664,NA,NA,197,195,600,527,2028,197,664,197,600,NA,197,NA
77,7247553,1,"7247553-1",666,NA,NA,198,196,602,529,2038,198,666,198,602,NA,198,NA
65,7247553,2,"7247553-2",667,NA,NA,NA,NA,603,530,2039,NA,667,NA,603,NA,NA,NA
60,7247558,1,"7247558-1",672,NA,NA,200,198,608,534,NA,200,672,200,608,NA,200,NA
66,7247560,1,"7247560-1",673,NA,NA,201,199,609,535,2041,201,673,201,609,NA,201,NA
66,7247560,2,"7247560-2",674,NA,NA,NA,NA,610,536,2042,NA,674,NA,610,NA,NA,NA
61,7247570,1,"7247570-1",688,NA,NA,206,204,622,548,2111,206,688,206,622,17,206,NA
69,7247578,1,"7247578-1",711,NA,NA,214,212,644,568,2170,214,711,214,644,NA,214,NA
60,7247584,1,"7247584-1",722,NA,NA,220,218,655,579,2240,220,722,220,655,NA,220,NA
73,7247585,1,"7247585-1",724,NA,NA,221,219,657,581,2246,221,724,221,657,NA,221,NA
67,7247600,1,"7247600-1",736,NA,NA,226,224,668,591,2292,226,736,226,668,NA,226,NA
60,7247600,2,"7247600-2",737,NA,NA,NA,NA,669,592,2293,NA,737,NA,669,NA,NA,NA
64,7247615,1,"7247615-1",752,NA,40,229,227,683,604,2325,229,752,229,683,NA,229,NA
65,7247617,2,"7247617-2",758,NA,NA,NA,NA,689,610,2348,NA,758,NA,689,NA,NA,NA
74,7247621,8,"7247621-8",767,NA,NA,NA,NA,698,617,2363,NA,767,NA,698,NA,NA,NA
68,7247626,1,"7247626-1",768,NA,NA,233,231,699,618,2368,233,768,233,699,NA,233,NA
70,7247637,1,"7247637-1",786,NA,NA,238,236,716,632,2415,238,786,238,716,NA,238,NA
65,7247637,2,"7247637-2",787,NA,NA,NA,NA,717,633,2416,NA,787,NA,717,NA,NA,NA
62,7247641,1,"7247641-1",793,NA,NA,241,239,722,638,2430,241,793,241,722,NA,241,NA
62,7247647,2,"7247647-2",815,NA,NA,NA,NA,743,654,2460,NA,815,NA,743,NA,NA,NA
62,7247653,2,"7247653-2",829,NA,NA,NA,NA,757,667,2486,NA,829,NA,757,NA,NA,NA
65,7247657,1,"7247657-1",834,NA,NA,254,252,762,672,2492,254,834,254,762,NA,254,NA
71,7247657,2,"7247657-2",835,NA,NA,NA,NA,763,673,2493,NA,835,NA,763,NA,NA,NA
87,7247658,2,"7247658-2",837,NA,NA,NA,NA,765,675,2497,NA,837,NA,765,NA,NA,NA
71,7247659,1,"7247659-1",839,NA,NA,256,254,767,677,2502,256,839,256,767,NA,256,NA
64,7247660,1,"7247660-1",840,NA,NA,257,255,768,678,2512,257,840,257,768,NA,257,NA
70,7247662,1,"7247662-1",843,16,NA,258,256,771,681,2515,258,843,258,771,NA,258,NA
65,7247662,2,"7247662-2",844,NA,NA,NA,NA,772,682,2516,NA,844,NA,772,NA,NA,NA
67,7247665,1,"7247665-1",845,NA,NA,259,257,773,683,2522,259,845,259,773,NA,259,NA
68,7247665,2,"7247665-2",846,NA,NA,NA,NA,774,684,2523,NA,846,NA,774,NA,NA,NA
74,7247666,1,"7247666-1",849,17,NA,260,258,777,687,2530,260,849,260,777,NA,260,NA
63,7247668,1,"7247668-1",853,NA,54,262,260,781,691,2541,262,853,262,781,NA,262,NA
80,7247671,1,"7247671-1",861,NA,NA,264,262,788,696,2565,264,861,264,788,NA,264,NA
60,7247671,2,"7247671-2",862,NA,NA,NA,NA,789,697,2566,NA,862,NA,789,NA,NA,NA
64,7247672,1,"7247672-1",863,NA,NA,265,263,790,698,2584,265,863,265,790,NA,265,NA
69,7247673,6,"7247673-6",869,NA,NA,NA,NA,796,702,NA,NA,869,NA,796,NA,NA,NA
65,7247679,1,"7247679-1",877,NA,NA,270,268,804,709,2612,270,877,270,804,NA,270,NA
70,7247679,2,"7247679-2",878,NA,NA,NA,NA,805,710,NA,NA,878,NA,805,NA,NA,NA
65,7247681,5,"7247681-5",887,NA,NA,NA,NA,813,716,2621,NA,887,NA,813,NA,NA,NA
61,7247683,2,"7247683-2",889,NA,NA,NA,NA,815,718,NA,NA,889,NA,815,22,NA,NA
66,7247684,1,"7247684-1",890,NA,NA,274,272,816,719,2624,274,890,274,816,NA,274,NA
84,7247686,1,"7247686-1",897,NA,NA,276,274,822,724,2638,276,897,276,822,NA,276,NA
75,7247686,2,"7247686-2",898,NA,NA,NA,NA,823,725,2639,NA,898,NA,823,NA,NA,NA
72,7247693,1,"7247693-1",919,NA,NA,281,279,842,739,2672,281,919,281,842,NA,281,NA
66,7247693,2,"7247693-2",920,NA,NA,NA,NA,843,740,2673,NA,920,NA,843,NA,NA,NA
80,7247698,8,"7247698-8",941,NA,NA,NA,NA,860,753,2753,NA,941,NA,860,NA,NA,NA
71,7247702,1,"7247702-1",953,NA,NA,290,288,872,760,2796,290,953,290,872,NA,290,NA
65,7247702,2,"7247702-2",954,NA,NA,NA,NA,873,761,2797,NA,954,NA,873,NA,NA,NA
75,7247708,1,"7247708-1",975,NA,NA,296,294,890,775,2860,296,975,296,890,23,296,NA
72,7247708,2,"7247708-2",976,NA,NA,NA,NA,891,776,2861,NA,976,NA,891,24,NA,NA
69,7247710,1,"7247710-1",981,NA,67,298,296,895,780,2870,298,981,298,895,NA,298,NA
60,7247717,1,"7247717-1",1011,NA,NA,305,303,923,800,2959,305,1011,305,923,NA,305,NA
71,7247722,1,"7247722-1",1030,NA,82,310,308,941,813,2985,310,1030,310,941,NA,310,NA
63,7247722,2,"7247722-2",1031,NA,NA,NA,NA,942,814,2986,NA,1031,NA,942,NA,NA,NA
60,7247730,2,"7247730-2",1052,NA,NA,318,NA,961,832,3059,318,1052,318,961,NA,318,130
60,7247731,2,"7247731-2",1057,NA,NA,NA,NA,965,835,3078,NA,1057,NA,965,NA,NA,NA
60,7247746,1,"7247746-1",1104,NA,NA,332,329,1008,871,3192,332,1104,332,1008,NA,332,NA
87,7247746,4,"7247746-4",1107,NA,NA,NA,NA,1011,873,3195,NA,1107,NA,1011,NA,NA,NA
65,7247746,5,"7247746-5",1108,NA,NA,NA,NA,1012,874,3196,NA,1108,NA,1012,NA,NA,NA
80,7247747,1,"7247747-1",1109,NA,NA,333,330,1013,875,3204,333,1109,333,1013,NA,333,NA
63,7247748,1,"7247748-1",1115,NA,NA,335,331,1018,879,3222,335,1115,335,1018,NA,335,NA
62,7247748,2,"7247748-2",1116,NA,NA,NA,NA,1019,880,3223,NA,1116,NA,1019,NA,NA,NA
67,7247749,1,"7247749-1",1120,NA,NA,336,332,1023,883,3229,336,1120,336,1023,25,336,NA
65,7247749,2,"7247749-2",1121,NA,NA,NA,NA,1024,884,3230,NA,1121,NA,1024,26,NA,NA
64,7247752,1,"7247752-1",1127,NA,NA,339,335,1029,888,3252,339,1127,339,1029,NA,339,NA
62,7247758,1,"7247758-1",1149,NA,99,345,341,1050,904,3299,345,1149,345,1050,NA,345,NA
63,7247763,1,"7247763-1",1161,NA,NA,349,345,1061,914,3352,349,1161,349,1061,NA,349,NA
60,7247763,2,"7247763-2",1162,NA,NA,NA,NA,1062,915,3353,NA,1162,NA,1062,NA,NA,NA
79,7247769,1,"7247769-1",1165,NA,NA,350,346,1065,918,3356,350,1165,350,1065,NA,350,NA
69,7247769,2,"7247769-2",1166,NA,NA,NA,NA,1066,919,3357,NA,1166,NA,1066,NA,NA,NA
75,7247771,3,"7247771-3",1178,NA,NA,NA,NA,1078,931,3390,NA,1178,NA,1078,NA,NA,NA
97,7247775,7,"7247775-7",1197,NA,NA,NA,NA,1096,946,3461,NA,1197,NA,1096,NA,NA,NA
75,7247777,1,"7247777-1",1198,NA,NA,357,353,1097,947,3469,357,1198,357,1097,29,357,NA
70,7247777,2,"7247777-2",1199,NA,NA,NA,NA,1098,948,3470,NA,1199,NA,1098,30,NA,NA
61,7247778,1,"7247778-1",1202,NA,103,358,354,1101,951,3481,358,1202,358,1101,NA,358,NA
71,7247781,1,"7247781-1",1211,NA,104,360,356,1110,959,3507,360,1211,360,1110,NA,360,NA
73,7247787,1,"7247787-1",1230,NA,NA,365,361,1129,976,3573,365,1230,365,1129,NA,365,NA
66,7247787,2,"7247787-2",1231,NA,NA,NA,NA,1130,977,3574,NA,1231,NA,1130,NA,NA,NA
69,7247788,1,"7247788-1",1233,NA,NA,366,362,1132,979,3592,366,1233,366,1132,NA,366,NA
61,7247788,2,"7247788-2",1234,NA,NA,NA,NA,1133,980,3593,NA,1234,NA,1133,NA,NA,NA
88,7247790,1,"7247790-1",1236,NA,NA,367,363,1135,982,3617,367,1236,367,1135,NA,367,NA
66,7247790,2,"7247790-2",1237,NA,NA,NA,NA,1136,983,3618,NA,1237,NA,1136,NA,NA,NA
76,7247793,1,"7247793-1",1243,NA,NA,369,365,1141,987,3636,369,1243,369,1141,NA,369,NA
67,7247793,2,"7247793-2",1244,NA,NA,NA,NA,1142,988,3637,NA,1244,NA,1142,NA,NA,NA
65,7247794,5,"7247794-5",1252,NA,NA,NA,NA,1148,992,3653,NA,1252,NA,1148,NA,NA,NA
67,7247797,1,"7247797-1",1261,NA,NA,373,369,1157,1001,3690,373,1261,373,1157,NA,373,NA
67,7247806,1,"7247806-1",1281,NA,NA,378,374,1174,1016,3755,378,1281,378,1174,31,378,NA
65,7247806,2,"7247806-2",1282,NA,NA,NA,NA,1175,1017,3756,NA,1282,NA,1175,32,NA,NA
82,7247809,1,"7247809-1",1292,NA,NA,381,377,1184,1026,3783,381,1292,381,1184,NA,381,NA
73,7247810,1,"7247810-1",1293,NA,113,382,378,1185,1027,3794,382,1293,382,1185,NA,382,NA
62,7247814,1,"7247814-1",1308,NA,NA,386,382,1200,1042,3836,386,1308,386,1200,NA,386,NA
60,7247817,1,"7247817-1",1323,NA,NA,390,385,1214,1053,3882,390,1323,390,1214,NA,390,NA
83,7247818,5,"7247818-5",1333,NA,NA,NA,NA,1224,1060,3897,NA,1333,NA,1224,NA,NA,NA
75,7247819,1,"7247819-1",1334,NA,NA,392,387,1225,1061,3904,392,1334,392,1225,NA,392,NA
74,7247820,1,"7247820-1",1339,NA,NA,393,388,1230,1066,3921,393,1339,393,1230,NA,393,NA
72,7247820,2,"7247820-2",1340,NA,NA,NA,NA,1231,1067,3922,NA,1340,NA,1231,NA,NA,NA
75,7247821,4,"7247821-4",1347,NA,NA,NA,NA,1237,1073,3936,NA,1347,NA,1237,NA,NA,NA
65,7247822,1,"7247822-1",1348,NA,NA,395,390,1238,1074,3942,395,1348,395,1238,NA,395,NA
74,7247823,1,"7247823-1",1352,NA,NA,396,391,1242,1078,3950,396,1352,396,1242,NA,396,NA
82,7247826,1,"7247826-1",1362,NA,NA,399,394,1251,1086,3985,399,1362,399,1251,NA,399,NA
66,7247835,1,"7247835-1",1398,NA,NA,408,403,1285,1111,4073,408,1398,408,1285,NA,408,NA
73,7247835,2,"7247835-2",1399,NA,NA,NA,NA,1286,1112,4074,NA,1399,NA,1286,NA,NA,NA
62,7247836,1,"7247836-1",1401,NA,NA,409,404,1288,1114,4084,409,1401,409,1288,NA,409,NA
64,7247841,1,"7247841-1",1413,NA,NA,413,408,1299,1125,4133,413,1413,413,1299,NA,413,NA
67,7247845,1,"7247845-1",1425,NA,NA,417,412,1309,1133,4180,417,1425,417,1309,NA,417,NA
63,7247847,1,"7247847-1",1430,NA,NA,419,414,1313,1137,4208,419,1430,419,1313,NA,419,NA
74,7247849,1,"7247849-1",1434,NA,NA,421,416,1317,1141,4228,421,1434,421,1317,NA,421,NA
67,7247849,2,"7247849-2",1435,NA,NA,NA,NA,1318,1142,4229,NA,1435,NA,1318,NA,NA,NA
82,7247851,2,"7247851-2",1442,NA,NA,NA,NA,1325,1149,4243,NA,1442,NA,1325,NA,NA,NA
69,7247856,1,"7247856-1",1453,NA,NA,427,422,1335,1159,4294,427,1453,427,1335,NA,427,NA
72,7247856,2,"7247856-2",1454,NA,NA,NA,NA,1336,1160,4295,NA,1454,NA,1336,NA,NA,NA
61,7247859,1,"7247859-1",1461,NA,NA,429,424,1343,1167,4306,429,1461,429,1343,NA,429,NA
77,7247861,1,"7247861-1",1468,NA,NA,431,426,1350,1173,4309,431,1468,431,1350,NA,431,NA
69,7247861,2,"7247861-2",1469,NA,NA,NA,NA,1351,1174,4310,NA,1469,NA,1351,NA,NA,NA
63,7247862,1,"7247862-1",1471,NA,NA,432,427,1353,1176,4314,432,1471,432,1353,NA,432,NA
62,7247862,2,"7247862-2",1472,NA,NA,433,NA,1354,1177,4315,433,1472,433,1354,NA,433,NA
65,7247866,1,"7247866-1",1488,NA,NA,437,431,1368,1190,4374,437,1488,437,1368,NA,437,NA
62,7247869,1,"7247869-1",1497,NA,NA,439,433,1376,1196,4403,439,1497,439,1376,NA,439,NA
72,7247873,5,"7247873-5",1514,NA,NA,NA,NA,1393,1210,4435,NA,1514,NA,1393,NA,NA,NA
74,7247875,1,"7247875-1",1518,NA,NA,445,439,1396,1212,4462,445,1518,445,1396,35,445,NA
62,7247875,2,"7247875-2",1519,NA,NA,NA,NA,1397,1213,4463,NA,1519,NA,1397,36,NA,NA
74,7247880,1,"7247880-1",1536,NA,NA,450,444,1412,1228,4533,450,1536,450,1412,NA,450,NA
68,7247880,2,"7247880-2",1537,NA,NA,NA,NA,1413,1229,4534,NA,1537,NA,1413,NA,NA,NA
64,7247882,1,"7247882-1",1538,NA,NA,451,445,1414,1230,4539,451,1538,451,1414,37,451,NA
61,7247882,2,"7247882-2",1539,NA,NA,NA,NA,1415,1231,4540,NA,1539,NA,1415,38,NA,NA
63,7247882,4,"7247882-4",1541,NA,NA,NA,NA,1417,1233,4542,NA,1541,NA,1417,NA,NA,NA
68,7247885,1,"7247885-1",1551,NA,NA,454,448,1427,1241,4581,454,1551,454,1427,NA,454,NA
70,7247885,2,"7247885-2",1552,NA,NA,NA,NA,1428,1242,4582,NA,1552,NA,1428,NA,NA,NA
61,7247891,1,"7247891-1",1573,NA,NA,460,454,1448,1260,4676,460,1573,460,1448,39,460,NA
73,7247891,2,"7247891-2",1574,NA,NA,NA,NA,1449,1261,4677,NA,1574,NA,1449,40,NA,NA
67,7247892,1,"7247892-1",1575,NA,NA,461,455,1450,1262,NA,461,1575,461,1450,NA,461,NA
64,7247892,2,"7247892-2",1576,NA,NA,NA,NA,1451,1263,NA,NA,1576,NA,1451,NA,NA,NA
60,7247892,3,"7247892-3",1577,NA,NA,NA,NA,1452,1264,NA,NA,1577,NA,1452,NA,NA,NA
66,7247895,2,"7247895-2",1588,NA,NA,NA,NA,1461,1272,NA,NA,1588,NA,1461,NA,NA,NA
72,7247896,1,"7247896-1",1591,NA,NA,465,459,1464,1275,4722,465,1591,465,1464,NA,465,NA
78,7247897,1,"7247897-1",1592,NA,NA,466,460,1465,1276,4745,466,1592,466,1465,NA,466,NA
60,7247898,1,"7247898-1",1596,NA,130,467,461,1469,1280,4747,467,1596,467,1469,NA,467,NA
68,7247898,2,"7247898-2",1597,NA,NA,NA,NA,1470,1281,4748,NA,1597,NA,1470,NA,NA,NA
79,7247900,6,"7247900-6",1612,NA,NA,NA,NA,1484,1294,4766,NA,1612,NA,1484,NA,NA,NA
71,7247905,1,"7247905-1",1624,NA,136,473,467,1495,1303,NA,473,1624,473,1495,NA,473,NA
76,7247905,5,"7247905-5",1628,NA,NA,NA,NA,1499,1306,NA,NA,1628,NA,1499,NA,NA,NA
64,7247907,1,"7247907-1",1630,NA,137,475,469,1501,1308,4828,475,1630,475,1501,NA,475,NA
63,7247909,3,"7247909-3",1638,NA,NA,NA,NA,1509,1314,4848,NA,1638,NA,1509,NA,NA,NA
65,7247915,1,"7247915-1",1660,NA,NA,483,477,1531,1336,NA,483,1660,483,1531,NA,483,NA
65,7247922,1,"7247922-1",1683,NA,NA,489,483,1551,1353,4924,489,1683,489,1551,NA,489,NA
65,7247926,1,"7247926-1",1696,NA,147,493,487,1564,1365,4945,493,1696,493,1564,NA,493,NA
61,7247927,1,"7247927-1",1700,NA,NA,494,488,1568,1369,4949,494,1700,494,1568,NA,494,NA
70,7247930,1,"7247930-1",1705,NA,NA,497,491,1573,1374,4968,497,1705,497,1573,NA,497,NA
61,7247930,2,"7247930-2",1706,NA,NA,NA,NA,1574,1375,NA,NA,1706,NA,1574,NA,NA,NA
62,7247931,1,"7247931-1",1707,NA,NA,498,492,1575,1376,4969,498,1707,498,1575,NA,498,NA
60,7247932,1,"7247932-1",1711,NA,NA,499,493,1578,1379,4970,499,1711,499,1578,NA,499,NA
84,7247937,1,"7247937-1",1728,NA,NA,504,498,1594,1392,4993,504,1728,504,1594,NA,504,NA
66,7247938,1,"7247938-1",1734,NA,NA,505,499,1599,1397,4999,505,1734,505,1599,NA,505,NA
74,7247938,2,"7247938-2",1735,NA,NA,NA,NA,1600,1398,5000,NA,1735,NA,1600,NA,NA,NA
60,7247940,1,"7247940-1",1739,NA,152,507,501,1604,1401,NA,507,1739,507,1604,NA,507,NA
63,7247940,3,"7247940-3",1741,NA,NA,NA,NA,1606,1403,NA,NA,1741,NA,1606,NA,NA,NA
79,7247944,1,"7247944-1",1751,NA,NA,510,504,1614,1410,5016,510,1751,510,1614,NA,510,NA
68,7247950,1,"7247950-1",1764,NA,154,515,509,1624,1420,5026,515,1764,515,1624,NA,515,NA
60,7247954,1,"7247954-1",1780,NA,157,519,513,1640,1433,5037,519,1780,519,1640,NA,519,NA
71,7247956,1,"7247956-1",1789,NA,NA,521,515,1648,1440,5042,521,1789,521,1648,NA,521,NA
65,7247958,1,"7247958-1",1795,NA,NA,523,517,1654,1446,5045,523,1795,523,1654,NA,523,NA
78,7247958,2,"7247958-2",1796,NA,NA,NA,NA,1655,1447,NA,NA,1796,NA,1655,NA,NA,NA
75,7247959,4,"7247959-4",1800,NA,NA,NA,NA,1659,1450,5049,NA,1800,NA,1659,NA,NA,NA
68,7247962,3,"7247962-3",1810,NA,NA,NA,NA,1668,1458,5060,NA,1810,NA,1668,NA,NA,NA
74,7247963,1,"7247963-1",1811,NA,NA,528,522,1669,1459,5066,528,1811,528,1669,NA,528,NA
60,7247978,1,"7247978-1",1850,NA,NA,541,535,1706,1493,5215,541,1850,541,1706,NA,541,NA
60,7247979,1,"7247979-1",1854,NA,NA,542,536,1709,1495,5229,542,1854,542,1709,NA,542,NA
62,7247979,2,"7247979-2",1855,NA,NA,NA,NA,1710,1496,5230,NA,1855,NA,1710,NA,NA,NA
75,7247980,1,"7247980-1",1857,NA,NA,543,537,1712,1497,5244,543,1857,543,1712,NA,543,NA
72,7247980,2,"7247980-2",1858,NA,NA,NA,NA,1713,1498,5245,NA,1858,NA,1713,NA,NA,NA
65,7247982,1,"7247982-1",1867,NA,NA,545,539,1722,1505,5271,545,1867,545,1722,NA,545,NA
63,7247986,1,"7247986-1",1876,20,169,550,543,1730,1513,5360,550,1876,550,1730,NA,550,NA
88,7247987,1,"7247987-1",1880,NA,NA,551,544,1734,1517,5372,551,1880,551,1734,NA,551,NA
78,7247987,2,"7247987-2",1881,NA,NA,NA,NA,1735,1518,5373,NA,1881,NA,1735,NA,NA,NA
64,7247993,1,"7247993-1",1893,NA,NA,556,549,1747,1530,5445,556,1893,556,1747,NA,556,NA
61,7247994,1,"7247994-1",1895,NA,NA,557,550,1749,1532,5451,557,1895,557,1749,NA,557,NA
95,7247994,2,"7247994-2",1896,NA,NA,NA,NA,1750,1533,5452,NA,1896,NA,1750,NA,NA,NA
73,7247998,7,"7247998-7",1917,NA,NA,NA,NA,1770,1550,NA,NA,1917,NA,1770,NA,NA,NA
62,7248000,1,"7248000-1",1919,NA,NA,562,555,1772,1552,5481,562,1919,562,1772,NA,562,NA
80,7248000,2,"7248000-2",1920,NA,NA,NA,NA,1773,1553,5482,NA,1920,NA,1773,NA,NA,NA
70,7248003,1,"7248003-1",1931,NA,NA,565,558,1783,1562,5507,565,1931,565,1783,45,565,NA
79,7248003,2,"7248003-2",1932,NA,NA,NA,NA,1784,1563,5508,NA,1932,NA,1784,46,NA,NA
