"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
78,7372111,1,"7372111-1",191804,NA,NA,62801,62327,177564,155079,611376,62801,191804,62801,177564,NA,62801,NA
71,7372111,2,"7372111-2",191805,NA,NA,NA,NA,177565,155080,611377,NA,191805,NA,177565,NA,NA,NA
80,7372118,1,"7372118-1",191828,NA,NA,62808,62334,177586,155098,611418,62808,191828,62808,177586,NA,62808,NA
61,7372121,1,"7372121-1",191836,NA,NA,62811,62337,177592,155104,611429,62811,191836,62811,177592,NA,62811,NA
75,7372122,3,"7372122-3",191839,NA,NA,NA,NA,177595,155106,611432,NA,191839,NA,177595,NA,NA,NA
74,7372126,1,"7372126-1",191850,NA,NA,62816,62342,177604,155113,611454,62816,191850,62816,177604,NA,62816,NA
60,7372130,1,"7372130-1",191861,NA,NA,62820,62346,177614,155122,611466,62820,191861,62820,177614,NA,62820,NA
72,7372131,1,"7372131-1",191862,NA,NA,62821,62347,177615,155123,611468,62821,191862,62821,177615,NA,62821,NA
81,7372139,1,"7372139-1",191883,NA,NA,62827,62353,177631,155135,611515,62827,191883,62827,177631,NA,62827,NA
61,7372150,3,"7372150-3",191922,NA,NA,NA,NA,177667,155165,611642,NA,191922,NA,177667,NA,NA,NA
62,7372156,2,"7372156-2",191943,NA,NA,NA,NA,177687,155182,611703,NA,191943,NA,177687,NA,NA,NA
74,7372156,3,"7372156-3",191944,NA,NA,NA,NA,177688,155183,611704,NA,191944,NA,177688,NA,NA,NA
62,7372163,1,"7372163-1",191961,NA,NA,62851,62377,177704,155196,611787,62851,191961,62851,177704,NA,62851,NA
63,7372171,1,"7372171-1",191983,NA,NA,62859,62385,177724,155213,611890,62859,191983,62859,177724,5798,62859,NA
63,7372171,2,"7372171-2",191984,NA,NA,NA,NA,177725,155214,611891,NA,191984,NA,177725,5799,NA,NA
73,7372172,1,"7372172-1",191986,NA,NA,62860,62386,177727,155216,611903,62860,191986,62860,177727,NA,62860,NA
73,7372172,2,"7372172-2",191987,NA,NA,NA,NA,177728,155217,611904,NA,191987,NA,177728,NA,NA,NA
68,7372179,1,"7372179-1",192004,NA,NA,62867,62393,177745,155231,611996,62867,192004,62867,177745,NA,62867,NA
64,7372180,1,"7372180-1",192006,NA,NA,62868,62394,177747,155233,612006,62868,192006,62868,177747,NA,62868,NA
66,7372180,2,"7372180-2",192007,NA,NA,NA,NA,177748,155234,612007,NA,192007,NA,177748,NA,NA,NA
65,7372181,4,"7372181-4",192011,NA,NA,NA,NA,177752,155237,612019,NA,192011,NA,177752,NA,NA,NA
75,7372182,1,"7372182-1",192012,NA,NA,62870,62396,177753,155238,612027,62870,192012,62870,177753,NA,62870,NA
74,7372182,2,"7372182-2",192013,NA,NA,NA,NA,177754,155239,612028,NA,192013,NA,177754,NA,NA,NA
63,7372188,1,"7372188-1",192029,NA,NA,62876,62402,177768,155252,612058,62876,192029,62876,177768,NA,62876,NA
63,7372201,1,"7372201-1",192067,NA,NA,62889,62415,177805,155282,612143,62889,192067,62889,177805,NA,62889,NA
63,7372202,1,"7372202-1",192070,NA,NA,62890,62416,177808,155284,612153,62890,192070,62890,177808,NA,62890,NA
70,7372203,1,"7372203-1",192074,NA,NA,62891,62417,177810,155286,612164,62891,192074,62891,177810,NA,62891,NA
82,7372213,4,"7372213-4",192112,NA,NA,NA,NA,177846,155316,612243,NA,192112,NA,177846,NA,NA,NA
62,7372219,1,"7372219-1",192134,NA,NA,62906,62432,177864,155330,612291,62906,192134,62906,177864,NA,62906,NA
60,7372228,1,"7372228-1",192183,NA,NA,62915,62441,177909,155360,612365,62915,192183,62915,177909,5800,62915,NA
62,7372229,2,"7372229-2",192188,NA,NA,NA,NA,177914,155365,612367,NA,192188,NA,177914,5803,NA,NA
